seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,52.0,48.0,0.52,0.48,0.73,4.41,5.41,1.69,1.0,85.0,15.0,0.85,0.15
43,100.0,53.0,47.0,0.53,0.47,0.74,4.72,5.72,1.81,1.0,77.0,23.0,0.77,0.23
44,100.0,62.0,38.0,0.62,0.38,0.65,4.6,5.6,1.83,1.0,78.0,22.0,0.78,0.22
45,100.0,48.0,52.0,0.48,0.52,0.68,4.53,5.53,1.72,1.0,83.0,17.0,0.83,0.17
46,100.0,52.0,48.0,0.52,0.48,0.77,4.77,5.77,1.99,1.0,73.0,27.0,0.73,0.27
47,100.0,48.0,52.0,0.48,0.52,0.67,4.41,5.41,1.69,1.0,85.0,15.0,0.85,0.15
48,100.0,53.0,47.0,0.53,0.47,0.74,4.66,5.66,1.86,1.0,82.0,18.0,0.82,0.18
49,100.0,53.0,47.0,0.53,0.47,0.7,4.54,5.54,1.71,1.0,81.0,19.0,0.81,0.19
50,100.0,57.0,43.0,0.57,0.43,0.74,4.58,5.58,2.01,1.0,74.0,26.0,0.74,0.26
51,100.0,53.0,47.0,0.53,0.47,0.69,4.63,5.63,1.95,1.0,79.0,21.0,0.79,0.21
52,100.0,52.0,48.0,0.52,0.48,0.77,4.3,5.3,1.6,1.0,81.0,19.0,0.81,0.19
53,100.0,52.0,48.0,0.52,0.48,0.65,4.46,5.46,1.68,1.0,82.0,18.0,0.82,0.18
54,100.0,50.0,50.0,0.5,0.5,0.7,4.59,5.59,1.9,1.0,78.0,22.0,0.78,0.22
55,100.0,48.0,52.0,0.48,0.52,0.69,4.29,5.29,1.42,1.0,84.0,16.0,0.84,0.16
56,100.0,46.0,54.0,0.46,0.54,0.68,4.41,5.41,1.71,1.0,85.0,15.0,0.85,0.15
57,100.0,53.0,47.0,0.53,0.47,0.7,4.53,5.53,1.77,1.0,78.0,22.0,0.78,0.22
58,100.0,48.0,52.0,0.48,0.52,0.66,4.72,5.72,1.86,1.0,77.0,23.0,0.77,0.23
59,100.0,61.0,39.0,0.61,0.39,0.74,4.66,5.66,1.91,1.0,79.0,21.0,0.79,0.21
60,100.0,52.0,48.0,0.52,0.48,0.73,4.49,5.49,1.71,1.0,80.0,20.0,0.8,0.2
61,100.0,47.0,53.0,0.47,0.53,0.61,4.35,5.35,1.67,1.0,88.0,12.0,0.88,0.12
62,100.0,50.0,50.0,0.5,0.5,0.67,4.36,5.36,1.64,1.0,80.0,20.0,0.8,0.2
63,100.0,51.0,49.0,0.51,0.49,0.71,4.59,5.59,1.82,1.0,82.0,18.0,0.82,0.18
64,100.0,47.0,53.0,0.47,0.53,0.63,4.46,5.46,1.91,1.0,81.0,19.0,0.81,0.19
65,100.0,50.0,50.0,0.5,0.5,0.73,4.24,5.24,1.53,1.0,83.0,17.0,0.83,0.17
66,100.0,47.0,53.0,0.47,0.53,0.64,4.54,5.54,1.71,1.0,81.0,19.0,0.81,0.19
67,100.0,52.0,48.0,0.52,0.48,0.75,4.33,5.33,1.48,1.0,84.0,16.0,0.84,0.16
68,100.0,51.0,49.0,0.51,0.49,0.73,4.4,5.4,1.73,1.0,83.0,17.0,0.83,0.17
69,100.0,47.0,53.0,0.47,0.53,0.67,4.49,5.49,1.85,1.0,83.0,17.0,0.83,0.17
70,100.0,54.0,46.0,0.54,0.46,0.7,4.59,5.59,1.88,1.0,77.0,23.0,0.77,0.23
71,100.0,49.0,51.0,0.49,0.51,0.74,4.5,5.5,1.71,1.0,85.0,15.0,0.85,0.15
72,100.0,59.0,41.0,0.59,0.41,0.68,4.59,5.59,1.77,1.0,80.0,20.0,0.8,0.2
