seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,commit_reason,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name,source_file
43,18,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,19,open,1.0,7,2,0,6,timeout,6.02535169073515,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,20,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,21,covered,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,22,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,23,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,24,open,0.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,25,covered,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,26,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,27,covered,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,28,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
43,29,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed43_trials.csv
44,0,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed44_trials.csv
44,1,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full,stage3_1a_seed44_trials.csv
44,2,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full,stage3_1a_seed44_trials.csv
44,3,open,0.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full,stage3_1a_seed44_trials.csv
