seed,condition_id,reward_idx,threat_idx,n_trials,p_open,p_covered,p_commit_timeout,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,mean_junction_deliberation_proxy
89,R1_T3,1,3,100,0.0,1.0,0.0,1.05,2.05,0.02,1.8445936126881124
90,R1_T3,1,3,100,0.0,1.0,0.0,1.05,2.05,0.02,1.8445936126881124
91,R1_T3,1,3,100,0.0,1.0,0.01,1.07,2.07,0.06,1.8879583350543245
42,R2_T3,2,3,100,0.0,1.0,0.0,1.08,2.08,0.04,1.8701897705674668
43,R2_T3,2,3,100,0.01,0.99,0.01,1.09,2.09,0.05,1.883554492933679
44,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.02,1.8398935763956552
45,R2_T3,2,3,100,0.01,0.99,0.0,1.07,2.07,0.04,1.8719333044389146
46,R2_T3,2,3,100,0.0,1.0,0.01,1.09,2.09,0.07,1.9035544929336787
47,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.03,1.844095391443126
48,R2_T3,2,3,100,0.01,0.99,0.0,1.06,2.06,0.03,1.853948227476737
49,R2_T3,2,3,100,0.01,0.99,0.01,1.08,2.08,0.05,1.8801897705674668
50,R2_T3,2,3,100,0.01,0.99,0.0,1.07,2.07,0.03,1.856135119486385
51,R2_T3,2,3,100,0.01,0.99,0.0,1.06,2.06,0.02,1.8432582987618673
52,R2_T3,2,3,100,0.01,0.99,0.01,1.08,2.08,0.04,1.8701897705674668
53,R2_T3,2,3,100,0.02,0.98,0.0,1.09,2.09,0.05,1.883554492933679
54,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.8398935763956552
55,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.8398935763956552
56,R2_T3,2,3,100,0.02,0.98,0.01,1.08,2.08,0.04,1.8701897705674668
57,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.03,1.8498935763956552
58,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.03,1.844095391443126
59,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.8398935763956552
60,R2_T3,2,3,100,0.0,1.0,0.0,1.08,2.08,0.03,1.8601897705674668
61,R2_T3,2,3,100,0.01,0.99,0.0,1.07,2.07,0.03,1.8619333044389146
62,R2_T3,2,3,100,0.01,0.99,0.0,1.08,2.08,0.05,1.8801897705674668
63,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.02,1.8398935763956552
64,R2_T3,2,3,100,0.03,0.97,0.0,1.05,2.05,0.01,1.8298935763956552
65,R2_T3,2,3,100,0.03,0.97,0.0,1.04,2.04,0.0,1.8158389253145737
66,R2_T3,2,3,100,0.0,1.0,0.01,1.08,2.08,0.07,1.9001897705674669
67,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.02,1.8398935763956552
68,R2_T3,2,3,100,0.0,1.0,0.0,1.08,2.08,0.03,1.8630665912919846
69,R2_T3,2,3,100,0.02,0.98,0.0,1.08,2.08,0.01,1.8430665912919846
70,R2_T3,2,3,100,0.01,0.99,0.0,1.06,2.06,0.03,1.853948227476737
71,R2_T3,2,3,100,0.02,0.98,0.0,1.07,2.07,0.04,1.866135119486385
72,R2_T3,2,3,100,0.01,0.99,0.0,1.06,2.06,0.01,1.8332582987618673
73,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.8398935763956552
74,R2_T3,2,3,100,0.0,1.0,0.0,1.08,2.08,0.04,1.875987955519996
75,R2_T3,2,3,100,0.01,0.99,0.0,1.08,2.08,0.04,1.8701897705674668
76,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.01,1.8298935763956552
77,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.8398935763956552
78,R2_T3,2,3,100,0.01,0.99,0.01,1.05,2.05,0.05,1.864095391443126
79,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.03,1.8498935763956552
80,R2_T3,2,3,100,0.01,0.99,0.01,1.09,2.09,0.07,1.9035544929336787
81,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.834095391443126
82,R2_T3,2,3,100,0.01,0.99,0.01,1.08,2.08,0.07,1.9001897705674669
83,R2_T3,2,3,100,0.05,0.95,0.0,1.05,2.05,0.03,1.8498935763956552
84,R2_T3,2,3,100,0.04,0.96,0.0,1.05,2.05,0.02,1.8398935763956552
85,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.01,1.8298935763956552
86,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.03,1.8498935763956552
87,R2_T3,2,3,100,0.02,0.98,0.0,1.05,2.05,0.03,1.8498935763956552
88,R2_T3,2,3,100,0.01,0.99,0.0,1.04,2.04,0.0,1.8158389253145737
89,R2_T3,2,3,100,0.01,0.99,0.0,1.05,2.05,0.02,1.8398935763956552
90,R2_T3,2,3,100,0.01,0.99,0.01,1.05,2.05,0.04,1.854095391443126
91,R2_T3,2,3,100,0.01,0.99,0.01,1.08,2.08,0.06,1.8901897705674668
