ablation,balanced_commit_latency_mean,balanced_commit_latency_ci_low,balanced_commit_latency_ci_high,balanced_junction_pause_mean,balanced_junction_pause_ci_low,balanced_junction_pause_ci_high,balanced_p_open_mean,balanced_p_open_ci_low,balanced_p_open_ci_high,balanced_p_timeout_mean,balanced_p_timeout_ci_low,balanced_p_timeout_ci_high,balanced_reorientation_mean,balanced_reorientation_ci_low,balanced_reorientation_ci_high,shock_delta_post_minus_pre_target_mean,shock_delta_post_minus_pre_target_ci_low,shock_delta_post_minus_pre_target_ci_high,shock_first_post_target_choice_mean,shock_first_post_target_choice_ci_low,shock_first_post_target_choice_ci_high,shock_first_post_target_lb_mean,shock_first_post_target_lb_ci_low,shock_first_post_target_lb_ci_high,shock_first_post_target_prob_mean,shock_first_post_target_prob_ci_low,shock_first_post_target_prob_ci_high,shock_first_post_target_prob_wins_mean,shock_first_post_target_prob_wins_ci_low,shock_first_post_target_prob_wins_ci_high,shock_post_latency_mean,shock_post_latency_ci_low,shock_post_latency_ci_high,shock_post_p_target_mean,shock_post_p_target_ci_low,shock_post_p_target_ci_high,shock_post_pause_mean,shock_post_pause_ci_low,shock_post_pause_ci_high,shock_post_timeout_mean,shock_post_timeout_ci_low,shock_post_timeout_ci_high,shock_pre_p_target_mean,shock_pre_p_target_ci_low,shock_pre_p_target_ci_high,treat_delta_post_minus_pre_target_mean,treat_delta_post_minus_pre_target_ci_low,treat_delta_post_minus_pre_target_ci_high,treat_first_post_target_choice_mean,treat_first_post_target_choice_ci_low,treat_first_post_target_choice_ci_high,treat_first_post_target_lb_mean,treat_first_post_target_lb_ci_low,treat_first_post_target_lb_ci_high,treat_first_post_target_prob_mean,treat_first_post_target_prob_ci_low,treat_first_post_target_prob_ci_high,treat_first_post_target_prob_wins_mean,treat_first_post_target_prob_wins_ci_low,treat_first_post_target_prob_wins_ci_high,treat_post_latency_mean,treat_post_latency_ci_low,treat_post_latency_ci_high,treat_post_p_target_mean,treat_post_p_target_ci_low,treat_post_p_target_ci_high,treat_post_pause_mean,treat_post_pause_ci_low,treat_post_pause_ci_high,treat_post_timeout_mean,treat_post_timeout_ci_low,treat_post_timeout_ci_high,treat_pre_p_target_mean,treat_pre_p_target_ci_low,treat_pre_p_target_ci_high
full,4.4748,4.446,4.50461,5.4748,5.445000000000001,5.504805,0.4422,0.4302000000000001,0.45439999999999997,0.1802,0.17279499999999998,0.1884,1.7276000000000002,1.6949949999999996,1.7609999999999997,-0.1089753694581281,-0.13500665024630543,-0.08196995073891625,0.42,0.29950000000000004,0.54,0.0,0.0,0.0,0.4663011645670992,0.4663011645670992,0.4663011645670992,0.0,0.0,0.0,3.789714285714286,3.753707142857143,3.824,0.3317142857142857,0.31971428571428573,0.3439999999999999,4.789714285714286,4.7540000000000004,4.82515,0.1357142857142857,0.12542857142857142,0.14628571428571427,0.4406896551724138,0.4172241379310344,0.4620689655172414,0.14497536945812806,0.11801822660098521,0.17185394088669953,0.66,0.52,0.8,0.5144730464753083,0.5144730464753083,0.5144730464753083,0.6568917050780785,0.6568917050780785,0.6568917050780785,1.0,1.0,1.0,2.454,2.4368571428571433,2.4705714285714286,0.7042857142857142,0.6911428571428573,0.7165714285714287,3.4539999999999997,3.4365714285714284,3.471142857142857,0.0,0.0,0.0,0.5593103448275862,0.5365517241379311,0.5827586206896551
novg,1.0,1.0,1.0,2.0,2.0,2.0,0.005600000000000001,0.0036,0.0078000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.002147783251231527,-0.0017549261083743845,0.005812807881773399,0.0,0.0,0.0,0.0,0.0,0.0,0.00923936322372885,0.00923936322372885,0.00923936322372885,0.0,0.0,0.0,1.0,1.0,1.0,0.006285714285714287,0.004,0.008857142857142859,2.0,2.0,2.0,0.0,0.0,0.0,0.004137931034482759,0.001379310344827586,0.007586206896551723,0.00270935960591133,6.600985221675349e-05,0.005753694581280784,1.0,1.0,1.0,0.5144730464753083,0.5144730464753083,0.5144730464753083,0.9992884586510837,0.9992884586510837,0.9992884586510837,1.0,1.0,1.0,1.0,1.0,1.0,0.9985714285714287,0.9974285714285713,0.9997142857142858,2.0,2.0,2.0,0.0,0.0,0.0,0.9958620689655171,0.9924137931034483,0.9986206896551724
novp,4.4748,4.444984999999999,4.50461,5.4748,5.444990000000001,5.506005,0.4422,0.43019500000000005,0.4544,0.1802,0.17259499999999997,0.188,1.7276000000000002,1.6944,1.761,-0.1089753694581281,-0.13430714285714285,-0.08128349753694583,0.42,0.28,0.56,0.0,0.0,0.0,0.4663011645670992,0.4663011645670992,0.4663011645670992,0.0,0.0,0.0,3.789714285714286,3.7542785714285714,3.8257214285714283,0.3317142857142857,0.3191357142857143,0.344,4.789714285714286,4.755135714285713,4.823714285714286,0.1357142857142857,0.12571428571428572,0.14542857142857143,0.4406896551724138,0.41793103448275865,0.4627586206896552,0.002403940886699495,-0.02493596059113301,0.03147807881773398,0.58,0.44,0.72,0.0,0.0,0.0,0.5336988354329008,0.5336988354329008,0.5336988354329008,1.0,1.0,1.0,4.486285714285715,4.445421428571428,4.527435714285715,0.5617142857142857,0.5465714285714286,0.5771428571428572,5.486285714285714,5.444571428571429,5.527428571428572,0.1834285714285714,0.1742785714285714,0.1931428571428571,0.5593103448275862,0.5365517241379311,0.5827586206896551
nox,4.4748,4.443200000000001,4.5042,5.4748,5.445600000000001,5.502805,0.4422,0.43079999999999996,0.454405,0.1802,0.1728,0.18780000000000002,1.7276000000000002,1.6948,1.7604050000000002,-0.005261083743842372,-0.03480911330049262,0.02329334975369455,0.42,0.28,0.56,0.0,0.0,0.0,0.4663011645670992,0.4663011645670992,0.4663011645670992,0.0,0.0,0.0,4.486285714285715,4.4465642857142855,4.52715,0.4354285714285714,0.42114285714285704,0.45,5.486285714285714,5.444849999999999,5.526578571428572,0.1834285714285714,0.1734285714285714,0.19257142857142853,0.4406896551724138,0.41724137931034483,0.46275862068965523,0.14497536945812806,0.116235960591133,0.17275270935960585,0.66,0.52,0.78,0.5144730464753083,0.5144730464753083,0.5144730464753083,0.6568917050780785,0.6568917050780785,0.6568917050780785,1.0,1.0,1.0,2.454,2.4360000000000004,2.470285714285714,0.7042857142857142,0.6917142857142856,0.7162857142857143,3.4539999999999997,3.437142857142857,3.4697142857142858,0.0,0.0,0.0,0.5593103448275862,0.5365517241379311,0.5813793103448276
one_shot_off,4.4748,4.445200000000001,4.505199999999999,5.4748,5.445195000000001,5.503405000000002,0.4422,0.4298,0.45439999999999997,0.1802,0.1728,0.188,1.7276000000000002,1.6954000000000002,1.7608,0.0021674876847290595,-0.02517290640394089,0.029174137931034478,0.44,0.3,0.58,0.0,0.0,0.0,0.4663011645670992,0.4663011645670992,0.4663011645670992,0.0,0.0,0.0,4.472857142857142,4.433428571428571,4.515428571428571,0.44285714285714284,0.42800000000000005,0.45771428571428563,5.472857142857143,5.4311357142857135,5.516578571428573,0.18028571428571424,0.17057142857142854,0.1908571428571428,0.4406896551724138,0.41862068965517246,0.4648275862068965,-0.0021674876847290804,-0.028739655172413815,0.025562315270935908,0.56,0.42,0.7,0.0,0.0,0.0,0.5336988354329008,0.5336988354329008,0.5336988354329008,1.0,1.0,1.0,4.472857142857142,4.431142857142857,4.516007142857143,0.5571428571428572,0.5417142857142858,0.5719999999999998,5.472857142857143,5.4317071428571415,5.514021428571428,0.18028571428571424,0.17057142857142854,0.19028571428571425,0.5593103448275862,0.5365344827586206,0.5841379310344827
