protocol,ablation,compared_ablation,target_path,expected_direction,metric_family,metric,post_window,full_delta,ablation_delta,full_directional_magnitude,ablation_directional_magnitude,directional_margin,localized,status,note
shock,full,one_shot_off,open,positive,carrier,h_risk,post_4_10,0.0599691804267642,0.013346986948754344,0.0599691804267642,0.013346986948754344,0.04662219347800985,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.05082470461491769,0.026231514946881803,0.05082470461491769,-0.02459318966803589,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.026231514946881803,0.026231514946881803,0.026231514946881803,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.0,0.026231514946881803,0.0,0.026231514946881803,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.012315999874987332,0.026231514946881803,0.012315999874987332,0.013915515071894471,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.31251721482186867,0.19897933078370525,0.31251721482186867,-0.11353788403816342,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.19897933078370525,0.19897933078370525,0.19897933078370525,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.09762911856964264,0.19897933078370525,0.09762911856964264,0.10135021221406261,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.0,0.19897933078370525,0.0,0.19897933078370525,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_1_3,1.198716340565635,1.2558191115469994,1.198716340565635,1.2558191115469994,-0.057102770981364515,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_1_3,1.198716340565635,1.198716340565635,1.198716340565635,1.198716340565635,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_1_3,1.198716340565635,1.136581544282011,1.198716340565635,1.136581544282011,0.06213479628362384,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_1_3,1.198716340565635,0.0,1.198716340565635,0.0,1.198716340565635,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.8475407994596218,0.7636646330541391,0.8475407994596218,-0.08387616640548268,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.7636646330541391,0.7636646330541391,0.7636646330541391,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.5527076062214342,0.7636646330541391,0.5527076062214342,0.2109570268327049,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.0,0.7636646330541391,0.0,0.7636646330541391,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.24912654365786693,0.14732338113430615,0.24912654365786693,-0.10180316252356078,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.14732338113430615,0.14732338113430615,0.14732338113430615,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.13362596483504294,0.14732338113430615,0.13362596483504294,0.013697416299263215,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.0,0.14732338113430615,0.0,0.14732338113430615,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,h_opp,post_11_30,0.008007748425983556,0.02278459600915123,0.008007748425983556,0.02278459600915123,-0.014776847583167673,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,h_opp,post_11_30,0.008007748425983556,0.01285254670602387,0.008007748425983556,0.01285254670602387,-0.004844798280040315,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,h_opp,post_11_30,0.008007748425983556,0.0,0.008007748425983556,0.0,0.008007748425983556,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,h_opp,post_11_30,0.008007748425983556,0.012836158618162778,0.008007748425983556,0.012836158618162778,-0.004828410192179222,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,h_opp,post_1_3,0.005440619573262418,0.01726944067419356,0.005440619573262418,0.01726944067419356,-0.011828821100931142,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,h_opp,post_1_3,0.005440619573262418,0.007857735998704846,0.005440619573262418,0.007857735998704846,-0.0024171164254424274,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,h_opp,post_1_3,0.005440619573262418,0.0,0.005440619573262418,0.0,0.005440619573262418,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,h_opp,post_1_3,0.005440619573262418,0.012845236145102664,0.005440619573262418,0.012845236145102664,-0.0074046165718402454,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,h_opp,post_4_10,0.0072881402832733165,0.02078077741948892,0.0072881402832733165,0.02078077741948892,-0.013492637136215603,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,h_opp,post_4_10,0.0072881402832733165,0.012336668325513443,0.0072881402832733165,0.012336668325513443,-0.005048528042240126,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,h_opp,post_4_10,0.0072881402832733165,0.0,0.0072881402832733165,0.0,0.0072881402832733165,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,h_opp,post_4_10,0.0072881402832733165,0.012769952719767871,0.0072881402832733165,0.012769952719767871,-0.005481812436494555,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,h_opp,post_all,0.00779048904846378,0.02238762425725649,0.00779048904846378,0.02238762425725649,-0.01459713520879271,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,h_opp,post_all,0.00779048904846378,0.012592964451821946,0.00779048904846378,0.012592964451821946,-0.004802475403358166,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,h_opp,post_all,0.00779048904846378,0.0,0.00779048904846378,0.0,0.00779048904846378,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,h_opp,post_all,0.00779048904846378,0.012846988067881503,0.00779048904846378,0.012846988067881503,-0.0050564990194177225,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,q_pos,post_11_30,0.02507080365128839,0.06635460834786248,0.02507080365128839,0.06635460834786248,-0.0412838046965741,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,q_pos,post_11_30,0.02507080365128839,0.006028993984215179,0.02507080365128839,0.006028993984215179,0.019041809667073212,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,q_pos,post_11_30,0.02507080365128839,0.02507080365128839,0.02507080365128839,0.02507080365128839,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,q_pos,post_11_30,0.02507080365128839,0.0,0.02507080365128839,0.0,0.02507080365128839,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,q_pos,post_1_3,1.4997090076705042,1.6087396931807698,1.4997090076705042,1.6087396931807698,-0.10903068551026562,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,q_pos,post_1_3,1.4997090076705042,1.2798002725353284,1.4997090076705042,1.2798002725353284,0.21990873513517584,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,q_pos,post_1_3,1.4997090076705042,1.4997090076705042,1.4997090076705042,1.4997090076705042,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,q_pos,post_1_3,1.4997090076705042,0.0,1.4997090076705042,0.0,1.4997090076705042,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,q_pos,post_4_10,0.43742810253506825,0.6177718966462998,0.43742810253506825,0.6177718966462998,-0.18034379411123158,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,q_pos,post_4_10,0.43742810253506825,0.23607545788172526,0.43742810253506825,0.23607545788172526,0.201352644653343,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,q_pos,post_4_10,0.43742810253506825,0.43742810253506825,0.43742810253506825,0.43742810253506825,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,q_pos,post_4_10,0.43742810253506825,0.0,0.43742810253506825,0.0,0.43742810253506825,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,q_pos,post_all,0.1100249098435992,0.1499999131638139,0.1100249098435992,0.1499999131638139,-0.0399750033202147,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,q_pos,post_all,0.1100249098435992,0.08017765606732176,0.1100249098435992,0.08017765606732176,0.029847253776277435,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,carrier,q_pos,post_all,0.1100249098435992,0.1100249098435992,0.1100249098435992,0.1100249098435992,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,carrier,q_pos,post_all,0.1100249098435992,0.0,0.1100249098435992,0.0,0.1100249098435992,True,pass,Full directional magnitude minus ablation directional magnitude.
