protocol,ablation,seed,target_path,expected_direction,window,metric,metric_value
shock,full,44,open,negative,post_11_30,p_timeout,0.2
shock,full,44,open,negative,post_11_30,commit_latency,3.55
shock,full,44,open,negative,post_11_30,junction_pause_duration,4.55
shock,full,44,open,negative,post_31_plus,p_target,0.55
shock,full,44,open,negative,post_31_plus,p_open,0.55
shock,full,44,open,negative,post_31_plus,p_covered,0.45
shock,full,44,open,negative,post_31_plus,p_timeout,0.25
shock,full,44,open,negative,post_31_plus,commit_latency,4.7
shock,full,44,open,negative,post_31_plus,junction_pause_duration,5.7
shock,full,44,open,negative,post_all,p_target,0.37142857142857144
shock,full,44,open,negative,post_all,p_open,0.37142857142857144
shock,full,44,open,negative,post_all,p_covered,0.6285714285714286
shock,full,44,open,negative,post_all,p_timeout,0.2
shock,full,44,open,negative,post_all,commit_latency,3.914285714285714
shock,full,44,open,negative,post_all,junction_pause_duration,4.914285714285715
shock,full,42,open,negative,pre,h_risk,0.2767817982991101
shock,full,42,open,negative,pre,h_opp,0.27448862953860326
shock,full,42,open,negative,pre,q_neg,0.0
shock,full,42,open,negative,pre,q_pos,0.0
shock,full,42,open,negative,pre,X_risk,0.28968609865470846
shock,full,42,open,negative,pre,X_opp,0.28699551569506715
shock,full,42,open,negative,shock,h_risk,0.3032553189468516
shock,full,42,open,negative,shock,h_opp,0.2868584562901358
shock,full,42,open,negative,shock,q_neg,0.0
shock,full,42,open,negative,shock,q_pos,0.0
shock,full,42,open,negative,shock,X_risk,0.31666666666666665
shock,full,42,open,negative,shock,X_opp,0.2833333333333333
shock,full,42,open,negative,post_1_3,h_risk,0.3256121793196012
shock,full,42,open,negative,post_1_3,h_opp,0.2850802713499392
shock,full,42,open,negative,post_1_3,q_neg,1.2083849724078302
shock,full,42,open,negative,post_1_3,q_pos,0.0
shock,full,42,open,negative,post_1_3,X_risk,0.24375000000000002
shock,full,42,open,negative,post_1_3,X_opp,0.28125
shock,full,42,open,negative,post_4_10,h_risk,0.3305194727597383
shock,full,42,open,negative,post_4_10,h_opp,0.27687973388376397
shock,full,42,open,negative,post_4_10,q_neg,0.7817446477225003
