seed,trial,p_open,p_covered,p_target,p_timeout,commit_latency,junction_pause_duration,h_risk,h_opp,q_neg,q_pos,X_risk,X_opp,protocol,ablation,target_path,expected_direction,rel_trial
42,33,0.0,1.0,0.0,0.0,1.0,2.0,0.33184511386744725,0.28227782483173514,1.066082554990323,0.0,0.22499999999999998,0.275,shock,full,open,negative,3
42,34,0.0,1.0,0.0,0.0,1.0,2.0,0.33277306186710565,0.27977498087210145,0.983320604654523,0.0,0.22499999999999998,0.275,shock,full,open,negative,4
42,35,0.0,1.0,0.0,0.0,1.0,2.0,0.3330347571678909,0.27813286495018574,0.9069836168052796,0.0,0.22499999999999998,0.275,shock,full,open,negative,5
42,36,0.0,1.0,0.0,0.0,1.0,2.0,0.33265130094509987,0.2770554726938169,0.8365728097828309,0.0,0.22499999999999998,0.275,shock,full,open,negative,6
42,37,0.0,1.0,0.0,0.0,1.0,2.0,0.33165456934801246,0.2763485956344133,0.7716281232654196,0.0,0.22499999999999998,0.275,shock,full,open,negative,7
42,38,0.0,1.0,0.0,0.0,1.0,2.0,0.3300861571043314,0.2758848135957386,0.7117252122605782,0.0,0.22499999999999998,0.275,shock,full,open,negative,8
42,39,0.0,1.0,0.0,0.0,1.0,2.0,0.3279959638996609,0.27558052620016416,0.6564726744583989,0.0,0.22499999999999998,0.275,shock,full,open,negative,9
42,40,0.0,1.0,0.0,0.0,1.0,2.0,0.3254404989860669,0.2753808832399277,0.6055094928304722,0.0,0.22499999999999998,0.275,shock,full,open,negative,10
42,41,0.0,1.0,0.0,0.0,2.0,3.0,0.32470849381890715,0.27565928589160077,0.552974059804406,0.0,0.24,0.27999999999999997,shock,full,open,negative,11
42,42,0.0,1.0,0.0,0.0,2.0,3.0,0.32435840172434555,0.2774368517261313,0.4998447527481293,0.0,0.24,0.27999999999999997,shock,full,open,negative,12
42,43,0.0,1.0,0.0,0.0,3.0,4.0,0.32479003475561496,0.27900631987711544,0.44736270900559,0.0,0.25,0.2833333333333333,shock,full,open,negative,13
42,44,0.0,1.0,0.0,0.0,3.0,4.0,0.3246811388178129,0.2810337809751475,0.39629284725528063,0.0,0.25,0.2833333333333333,shock,full,open,negative,14
42,45,0.0,1.0,0.0,0.0,3.0,4.0,0.3227666589664831,0.2821112569285467,0.35105299933199124,0.0,0.25,0.2833333333333333,shock,full,open,negative,15
42,46,0.0,1.0,0.0,0.0,3.0,4.0,0.31954995896148336,0.28268387182669713,0.3109776247376993,0.0,0.25,0.2833333333333333,shock,full,open,negative,16
42,47,1.0,0.0,1.0,0.0,4.0,5.0,0.32161848449877045,0.28344053990792767,0.27276875443275045,0.0,0.31428571428571433,0.2857142857142857,shock,full,open,negative,17
42,48,0.0,1.0,0.0,0.0,1.0,2.0,0.3357280148638258,0.2839698392121731,0.24394637126882543,0.0,0.22499999999999998,0.275,shock,full,open,negative,18
42,49,0.0,1.0,0.0,0.0,3.0,4.0,0.3219718321596436,0.28142919833800223,0.2205831980216069,0.0,0.25,0.2833333333333333,shock,full,open,negative,19
42,50,0.0,1.0,0.0,0.0,3.0,4.0,0.3117690315355964,0.2823213979272796,0.1954019453140554,0.0,0.25,0.2833333333333333,shock,full,open,negative,20
42,51,1.0,0.0,1.0,1.0,6.0,7.0,0.3115937761765762,0.28432191417454195,0.16805702661807234,0.0,0.3111111111111111,0.2888888888888889,shock,full,open,negative,21
42,52,0.0,1.0,0.0,0.0,1.0,2.0,0.3257421221029688,0.28592317728325506,0.14721303101828415,0.0,0.22499999999999998,0.275,shock,full,open,negative,22
42,53,0.0,1.0,0.0,0.0,3.0,4.0,0.30839651698865905,0.2825932930105312,0.1331141799878739,0.0,0.25,0.2833333333333333,shock,full,open,negative,23
42,54,0.0,1.0,0.0,0.0,4.0,5.0,0.2979174677656819,0.283394599585333,0.1167588475320539,0.0,0.2571428571428571,0.2857142857142857,shock,full,open,negative,24
42,55,0.0,1.0,0.0,0.0,3.0,4.0,0.28933721972204207,0.2842081070125218,0.10236778473867429,0.0,0.25,0.2833333333333333,shock,full,open,negative,25
42,56,1.0,0.0,1.0,1.0,6.0,7.0,0.291422333611398,0.2851958246012992,0.08804224286002037,0.0,0.3111111111111111,0.2888888888888889,shock,full,open,negative,26
42,57,1.0,0.0,1.0,0.0,3.0,4.0,0.3156103312905625,0.2863938516964682,0.07560568291424051,0.0,0.31666666666666665,0.2833333333333333,shock,full,open,negative,27
42,58,0.0,1.0,0.0,0.0,4.0,5.0,0.3188718442457336,0.2853221903782208,0.06631624372959198,0.0,0.2571428571428571,0.2857142857142857,shock,full,open,negative,28
42,59,0.0,1.0,0.0,0.0,3.0,4.0,0.29550353564965054,0.28517415803775603,0.05814246291635105,0.0,0.25,0.2833333333333333,shock,full,open,negative,29
