scenario,metric,ablation,n_seeds,mean,ci_low,ci_high
balanced,commit_latency,full,3,4.383333333333333,4.05,4.6
balanced,junction_pause,full,3,5.383333333333333,5.05,5.599999999999999
balanced,p_open,full,3,0.4666666666666666,0.45,0.5
balanced,p_timeout,full,3,0.13333333333333333,0.10000000000000002,0.15
balanced,reorientation,full,3,1.5833333333333333,1.3999999999999997,1.8999999999999997
shock,delta_post_minus_pre_target,full,3,-0.1244663382594417,-0.2660098522167488,-0.007881773399014746
shock,first_post_target_choice,full,3,0.6666666666666666,0.0,1.0
shock,first_post_target_lb,full,3,0.0,0.0,0.0
shock,first_post_target_prob,full,3,0.4663011645670992,0.4663011645670992,0.4663011645670992
shock,first_post_target_prob_wins,full,3,0.0,0.0,0.0
shock,post_latency,full,3,3.857142857142857,3.5285714285714285,4.128571428571429
shock,post_p_target,full,3,0.3238095238095238,0.2857142857142857,0.37142857142857144
shock,post_pause,full,3,4.857142857142858,4.5285714285714285,5.128571428571429
shock,post_timeout,full,3,0.1761904761904762,0.12857142857142856,0.20000000000000004
shock,pre_p_target,full,3,0.44827586206896547,0.37931034482758613,0.5517241379310345
treat,delta_post_minus_pre_target,full,3,0.13399014778325122,0.03645320197044333,0.280295566502463
treat,first_post_target_choice,full,3,0.6666666666666666,0.0,1.0
treat,first_post_target_lb,full,3,0.5144730464753083,0.5144730464753083,0.5144730464753083
treat,first_post_target_prob,full,3,0.6568917050780784,0.6568917050780784,0.6568917050780784
treat,first_post_target_prob_wins,full,3,1.0,1.0,1.0
treat,post_latency,full,3,2.4428571428571426,2.3714285714285714,2.5428571428571427
treat,post_p_target,full,3,0.6857142857142856,0.6571428571428571,0.7285714285714285
treat,post_pause,full,3,3.442857142857143,3.3714285714285714,3.5428571428571427
treat,post_timeout,full,3,0.0,0.0,0.0
treat,pre_p_target,full,3,0.5517241379310344,0.4482758620689655,0.6206896551724138
