protocol,ablation,check,status,value,threshold_or_expectation,note
treat,novg,p_target_delta_post_all,direction_ok,0.00270935960591133,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0000, 0.0059], directional_p=0.039048, sign_consistency=0.1200"
treat,novp,p_target_delta_post_11_30,direction_ok,0.006689655172413787,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0281, 0.0415], directional_p=0.361932, sign_consistency=0.5600"
treat,novp,p_target_delta_post_31_plus,fail,-0.0058103448275862125,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0397, 0.0272], directional_p=0.645068, sign_consistency=0.4800"
treat,novp,p_target_delta_post_all,direction_ok,0.002403940886699495,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0275, 0.0309], directional_p=0.440228, sign_consistency=0.5000"
treat,nox,p_target_delta_post_11_30,pass,0.1306896551724138,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[0.0917, 0.1675], directional_p=0.000050, sign_consistency=0.8600"
treat,nox,p_target_delta_post_31_plus,pass,0.1511896551724138,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[0.1202, 0.1826], directional_p=0.000050, sign_consistency=0.9400"
treat,nox,p_target_delta_post_all,pass,0.14497536945812806,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[0.1183, 0.1722], directional_p=0.000050, sign_consistency=0.9000"
treat,one_shot_off,p_target_delta_post_11_30,direction_ok,0.0006896551724137868,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0324, 0.0364], directional_p=0.485626, sign_consistency=0.5400"
treat,one_shot_off,p_target_delta_post_31_plus,fail,-0.0033103448275862103,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0380, 0.0300], directional_p=0.576221, sign_consistency=0.4800"
treat,one_shot_off,p_target_delta_post_all,fail,-0.0021674876847290804,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0307, 0.0256], directional_p=0.557622, sign_consistency=0.5400"
shock,full,first_post_target_probability,direction_ok,0.4663011645670992,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.4200, target_prob_wins_rate=0.0000"
shock,novg,first_post_target_probability,direction_ok,0.00923936322372885,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.0000, target_prob_wins_rate=0.0000"
shock,novp,first_post_target_probability,direction_ok,0.4663011645670992,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.4200, target_prob_wins_rate=0.0000"
shock,nox,first_post_target_probability,direction_ok,0.4663011645670992,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.4200, target_prob_wins_rate=0.0000"
shock,one_shot_off,first_post_target_probability,direction_ok,0.4663011645670992,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.4400, target_prob_wins_rate=0.0000"
treat,full,first_post_target_probability,direction_ok,0.6568917050780785,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.6600, target_prob_wins_rate=1.0000"
treat,novg,first_post_target_probability,direction_ok,0.9992884586510837,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=1.0000, target_prob_wins_rate=1.0000"
treat,novp,first_post_target_probability,direction_ok,0.5336988354329008,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.5800, target_prob_wins_rate=1.0000"
treat,nox,first_post_target_probability,direction_ok,0.6568917050780785,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.6600, target_prob_wins_rate=1.0000"
treat,one_shot_off,first_post_target_probability,direction_ok,0.5336988354329008,shock/negative expects target_prob < 0.5; treat/positive expects target_prob > 0.5,"target_choice_rate=0.5600, target_prob_wins_rate=1.0000"
shock,full,carrier_delta_h_risk_post_1_3,pass,0.04868229172809448,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0469, 0.0505], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_h_risk_post_4_10,pass,0.0599691804267642,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0585, 0.0614], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_h_risk_post_11_30,pass,0.042134184255240674,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0407, 0.0437], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_h_risk_post_all,pass,0.026231514946881803,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0248, 0.0276], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_q_neg_post_1_3,pass,1.198716340565635,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[1.1933, 1.2040], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_q_neg_post_4_10,pass,0.7636646330541391,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.7555, 0.7716], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_q_neg_post_11_30,pass,0.19897933078370525,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.1949, 0.2030], directional_p=0.000050, sign_consistency=1.0000"
shock,full,carrier_delta_q_neg_post_all,pass,0.14732338113430615,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.1466, 0.1481], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_h_risk_post_1_3,pass,0.06124782890728584,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0609, 0.0615], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_h_risk_post_4_10,pass,0.0936156311700759,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0929, 0.0946], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_h_risk_post_11_30,pass,0.07993593602471631,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0794, 0.0805], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_h_risk_post_all,pass,0.05082470461491769,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0505, 0.0512], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_q_neg_post_1_3,pass,1.2558191115469994,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[1.2558, 1.2558], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_q_neg_post_4_10,pass,0.8475407994596218,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.8475, 0.8475], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_q_neg_post_11_30,pass,0.31251721482186867,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.3125, 0.3125], directional_p=0.000050, sign_consistency=1.0000"
shock,novg,carrier_delta_q_neg_post_all,pass,0.24912654365786693,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.2491, 0.2491], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_h_risk_post_1_3,pass,0.04868229172809448,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0470, 0.0504], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_h_risk_post_4_10,pass,0.0599691804267642,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0586, 0.0614], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_h_risk_post_11_30,pass,0.042134184255240674,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0407, 0.0436], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_h_risk_post_all,pass,0.026231514946881803,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0248, 0.0277], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_q_neg_post_1_3,pass,1.198716340565635,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[1.1933, 1.2037], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_q_neg_post_4_10,pass,0.7636646330541391,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.7557, 0.7715], directional_p=0.000050, sign_consistency=1.0000"
