protocol,ablation,target_path,expected_direction,post_window,n_seeds,n_placebo_samples,observed_delta,null_mean,null_ci_low,null_ci_high,directional_placebo_p,note
shock,full,open,negative,post_11_30,50,5000,-0.17668965517241378,-0.007387152786081771,-0.06442370206957357,0.046431198312591085,0.0001999600079984003,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,full,open,negative,post_all,50,5000,-0.1089753694581281,0.05894308763924414,0.027366443421568562,0.08846744527047755,0.0001999600079984003,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,novg,open,negative,post_11_30,50,5000,0.001862068965517242,-0.004194541676609364,-0.012557294551675634,0.005020357403556684,0.9094181163767247,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,novg,open,negative,post_all,50,5000,0.002147783251231527,-0.01161076683288882,-0.016372686077572973,-0.006613723976383173,1.0,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,novp,open,negative,post_11_30,50,5000,-0.17668965517241378,-0.007526347821223789,-0.0665692832348805,0.04643512922843663,0.0001999600079984003,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,novp,open,negative,post_all,50,5000,-0.1089753694581281,0.0592043347945845,0.027825060192219062,0.08855826856773587,0.0001999600079984003,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,nox,open,negative,post_11_30,50,5000,-0.007689655172413792,0.0013140360154040738,-0.03153080753955096,0.03451018201888717,0.29834033193361326,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,nox,open,negative,post_all,50,5000,-0.005261083743842372,-0.002384977952052099,-0.025466217446377143,0.02015659718712619,0.3977204559088182,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,one_shot_off,open,negative,post_11_30,50,5000,-0.00068965517241379,0.005827268579801959,-0.023599939784891416,0.0361814728296681,0.33713257348530296,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
shock,one_shot_off,open,negative,post_all,50,5000,0.0021674876847290595,-0.0018108180229129847,-0.023738342621540794,0.018898943603109182,0.6404719056188762,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,full,covered,positive,post_11_30,50,5000,0.1306896551724138,0.10145703231114143,0.07304534695219102,0.13076305487645568,0.02539492101579684,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,full,covered,positive,post_all,50,5000,0.14497536945812806,0.07951988334601309,0.052208673518844416,0.10492733799241818,0.0001999600079984003,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,novg,covered,positive,post_11_30,50,5000,0.0041379310344827535,0.002226280031664173,-0.0005008110841409183,0.004905192055164893,0.08178364327134573,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,novg,covered,positive,post_all,50,5000,0.00270935960591133,0.0019505632245100813,7.510147133844539e-05,0.004224039916482056,0.22375524895020996,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,novp,covered,positive,post_11_30,50,5000,0.006689655172413787,-0.008834267114172786,-0.040503343756454355,0.0226443740057209,0.17136572685462909,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,novp,covered,positive,post_all,50,5000,0.002403940886699495,-0.01000298702683388,-0.031797012617300266,0.012123017456150218,0.1305738852229554,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,nox,covered,positive,post_11_30,50,5000,0.1306896551724138,0.10141741050644136,0.07191622889959037,0.13002916378049575,0.022395520895820836,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,nox,covered,positive,post_all,50,5000,0.14497536945812806,0.07947787927486967,0.05276951567169111,0.1047963285614384,0.0001999600079984003,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,one_shot_off,covered,positive,post_11_30,50,5000,0.0006896551724137868,-0.005570131712728959,-0.03559190103731654,0.024638644216760756,0.34933013397320534,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
treat,one_shot_off,covered,positive,post_all,50,5000,-0.0021674876847290804,0.0016762830920462573,-0.019938436408607988,0.022649217682213865,0.6412717456508699,Placebo event-time null; conservative because fake events are sampled from the same realized sequence.
