protocol,ablation,target_path,expected_direction,trial,rel_trial,n_trials,p_open,p_covered,p_target,p_timeout,mean_commit_latency,mean_junction_pause_duration,mean_h_risk,mean_h_opp,mean_q_neg,mean_q_pos,mean_X_risk,mean_X_opp
shock,full,open,negative,37,7,50,0.0,1.0,0.0,0.0,1.0,2.0,0.331860661199188,0.27659145229769994,0.7587691603791721,0.0,0.22499999999999998,0.275
shock,full,open,negative,38,8,50,0.02,0.98,0.02,0.0,1.0,2.0,0.3302160150757423,0.27604415185252096,0.6998645143236818,0.0,0.22699999999999998,0.275
shock,full,open,negative,39,9,50,0.0,1.0,0.0,0.0,1.22,2.22,0.32874831575803287,0.2757688484266193,0.6441919597074045,0.0,0.22829999999999998,0.2761
shock,full,open,negative,40,10,50,0.0,1.0,0.0,0.0,1.52,2.52,0.32730091787173565,0.27606464077768966,0.5899035445851635,0.0,0.23279999999999998,0.27759999999999996
shock,full,open,negative,41,11,50,0.0,1.0,0.0,0.0,1.86,2.86,0.3262633451173059,0.2768523521527,0.5366740873866003,0.0,0.2379,0.27929999999999994
shock,full,open,negative,42,12,50,0.02,0.98,0.02,0.0,2.08,3.08,0.32528607507180085,0.27796100531323625,0.4854705189162009,0.0,0.24230000000000002,0.2802333333333333
shock,full,open,negative,43,13,50,0.0,1.0,0.0,0.0,2.44,3.44,0.3244760139283759,0.27911010379322737,0.43665137887468786,0.0,0.24419999999999997,0.2814
shock,full,open,negative,44,14,50,0.02,0.98,0.02,0.0,3.02,4.02,0.32361257283773326,0.2804472953324641,0.3890769511284782,0.0,0.2512047619047619,0.2832904761904762
shock,full,open,negative,45,15,50,0.1,0.9,0.1,0.0,3.34,4.34,0.3232211893314025,0.2819732363879255,0.3435311813365458,0.0,0.25866666666666666,0.284
shock,full,open,negative,46,16,50,0.18,0.82,0.18,0.0,3.42,4.42,0.32351984812157303,0.2831110779826935,0.3020917602519122,0.0,0.2628452380952381,0.2838690476190476
shock,full,open,negative,47,17,50,0.2,0.8,0.2,0.0,3.54,4.54,0.3239395183692541,0.2838122707309834,0.2651647825607013,0.0,0.2626357142857143,0.28338650793650794
shock,full,open,negative,48,18,50,0.24,0.76,0.24,0.0,3.26,4.26,0.3225471689456542,0.28398739786593974,0.23323539567321336,0.0,0.263034126984127,0.2828103174603175
shock,full,open,negative,49,19,50,0.34,0.66,0.34,0.08,3.36,4.36,0.3210049557042761,0.2839679085155037,0.20559040926239347,0.0,0.26845238095238094,0.28294444444444444
shock,full,open,negative,50,20,50,0.26,0.74,0.26,0.08,3.1,4.1,0.3199716263989752,0.28401630833462493,0.1813973067151467,0.0,0.2613888888888889,0.2821349206349206
shock,full,open,negative,51,21,50,0.36,0.64,0.36,0.16,3.68,4.68,0.3167475102460456,0.2840217985898613,0.15952026947216696,0.0,0.27117301587301584,0.2837349206349207
shock,full,open,negative,52,22,50,0.36,0.64,0.36,0.16,3.48,4.48,0.3155216148399111,0.28444204998973793,0.1397668589863432,0.0,0.2691571428571429,0.2831793650793651
shock,full,open,negative,53,23,50,0.34,0.66,0.34,0.1,3.86,4.86,0.3132884111687352,0.2845860303779745,0.12222976152617457,0.0,0.2722126984126984,0.28434603174603174
