seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
47,0,covered,0.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
47,1,covered,0.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
47,2,open,1.0,7,3,0,6,7.02535169073515,explore,exploit,False,stage3_1a,full
47,3,covered,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,4,covered,0.0,7,2,0,6,6.02535169073515,explore,exploit,False,stage3_1a,full
47,5,covered,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,6,open,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
47,7,covered,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,8,covered,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,9,open,1.0,7,3,0,6,7.02535169073515,explore,exploit,False,stage3_1a,full
47,10,open,0.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,11,open,0.0,7,4,0,6,8.02535169073515,explore,exploit,False,stage3_1a,full
47,12,open,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,13,covered,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,14,covered,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,15,covered,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,16,covered,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
47,17,covered,0.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,18,covered,0.0,7,1,0,6,5.025351690735149,explore,exploit,False,stage3_1a,full
47,19,covered,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
47,20,covered,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,21,covered,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,22,open,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,23,open,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
47,24,open,0.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
47,25,open,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,26,open,0.0,7,4,0,6,8.02535169073515,explore,exploit,False,stage3_1a,full
47,27,open,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,28,open,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
47,29,covered,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
