seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,38.0,62.0,0.38,0.62,0.73,3.32,4.32,1.05,1.0,94.0,6.0,0.94,0.06
43,100.0,40.0,60.0,0.4,0.6,0.74,2.88,3.88,0.73,1.0,93.0,7.0,0.93,0.07
44,100.0,53.0,47.0,0.53,0.47,0.65,3.6,4.6,1.31,1.0,87.0,13.0,0.87,0.13
45,100.0,40.0,60.0,0.4,0.6,0.68,3.42,4.42,1.26,1.0,89.0,11.0,0.89,0.11
46,100.0,48.0,52.0,0.48,0.52,0.77,3.46,4.46,1.19,1.0,88.0,12.0,0.88,0.12
47,100.0,39.0,61.0,0.39,0.61,0.67,3.18,4.18,0.98,1.0,92.0,8.0,0.92,0.08
48,100.0,43.0,57.0,0.43,0.57,0.74,3.44,4.44,1.19,1.0,90.0,10.0,0.9,0.1
49,100.0,49.0,51.0,0.49,0.51,0.7,3.32,4.32,1.12,1.0,86.0,14.0,0.86,0.14
50,100.0,44.0,56.0,0.44,0.56,0.74,3.6,4.6,1.4,1.0,84.0,16.0,0.84,0.16
51,100.0,42.0,58.0,0.42,0.58,0.69,3.36,4.36,1.1,1.0,90.0,10.0,0.9,0.1
52,100.0,45.0,55.0,0.45,0.55,0.77,3.46,4.46,1.29,1.0,87.0,13.0,0.87,0.13
53,100.0,49.0,51.0,0.49,0.51,0.65,3.56,4.56,1.26,1.0,88.0,12.0,0.88,0.12
54,100.0,49.0,51.0,0.49,0.51,0.7,3.94,4.94,1.7,1.0,77.0,23.0,0.77,0.23
55,100.0,38.0,62.0,0.38,0.62,0.69,3.16,4.16,0.92,1.0,96.0,4.0,0.96,0.04
56,100.0,50.0,50.0,0.5,0.5,0.68,3.66,4.66,1.47,1.0,85.0,15.0,0.85,0.15
57,100.0,45.0,55.0,0.45,0.55,0.7,3.48,4.48,1.25,1.0,84.0,16.0,0.84,0.16
58,100.0,41.0,59.0,0.41,0.59,0.66,3.44,4.44,1.12,1.0,90.0,10.0,0.9,0.1
59,100.0,51.0,49.0,0.51,0.49,0.74,3.54,4.54,1.25,1.0,85.0,15.0,0.85,0.15
60,100.0,51.0,49.0,0.51,0.49,0.73,3.58,4.58,1.33,1.0,81.0,19.0,0.81,0.19
61,100.0,34.0,66.0,0.34,0.66,0.61,3.22,4.22,1.03,1.0,92.0,8.0,0.92,0.08
62,100.0,44.0,56.0,0.44,0.56,0.67,3.42,4.42,1.26,1.0,88.0,12.0,0.88,0.12
63,100.0,43.0,57.0,0.43,0.57,0.71,3.48,4.48,1.29,1.0,86.0,14.0,0.86,0.14
64,100.0,43.0,57.0,0.43,0.57,0.63,3.5,4.5,1.33,1.0,84.0,16.0,0.84,0.16
65,100.0,38.0,62.0,0.38,0.62,0.73,3.08,4.08,0.89,1.0,92.0,8.0,0.92,0.08
66,100.0,44.0,56.0,0.44,0.56,0.64,3.36,4.36,1.15,1.0,87.0,13.0,0.87,0.13
67,100.0,50.0,50.0,0.5,0.5,0.75,3.36,4.36,1.07,1.0,86.0,14.0,0.86,0.14
68,100.0,46.0,54.0,0.46,0.54,0.73,3.36,4.36,1.12,1.0,89.0,11.0,0.89,0.11
69,100.0,36.0,64.0,0.36,0.64,0.67,3.4,4.4,1.24,1.0,89.0,11.0,0.89,0.11
70,100.0,44.0,56.0,0.44,0.56,0.7,3.42,4.42,1.25,1.0,87.0,13.0,0.87,0.13
71,100.0,45.0,55.0,0.45,0.55,0.74,3.38,4.38,1.16,1.0,89.0,11.0,0.89,0.11
72,100.0,38.0,62.0,0.38,0.62,0.68,3.34,4.34,1.08,1.0,93.0,7.0,0.93,0.07
73,100.0,56.0,44.0,0.56,0.44,0.68,3.32,4.32,1.2,1.0,87.0,13.0,0.87,0.13
74,100.0,32.0,68.0,0.32,0.68,0.7,3.44,4.44,1.15,1.0,88.0,12.0,0.88,0.12
75,100.0,47.0,53.0,0.47,0.53,0.62,3.48,4.48,1.29,1.0,83.0,17.0,0.83,0.17
76,100.0,48.0,52.0,0.48,0.52,0.74,3.48,4.48,1.29,1.0,84.0,16.0,0.84,0.16
77,100.0,48.0,52.0,0.48,0.52,0.65,3.66,4.66,1.51,1.0,80.0,20.0,0.8,0.2
78,100.0,35.0,65.0,0.35,0.65,0.69,3.3,4.3,1.03,1.0,93.0,7.0,0.93,0.07
79,100.0,40.0,60.0,0.4,0.6,0.67,3.5,4.5,1.15,1.0,91.0,9.0,0.91,0.09
80,100.0,48.0,52.0,0.48,0.52,0.69,3.28,4.28,1.08,1.0,87.0,13.0,0.87,0.13
81,100.0,45.0,55.0,0.45,0.55,0.7,3.4,4.4,1.12,1.0,93.0,7.0,0.93,0.07
82,100.0,44.0,56.0,0.44,0.56,0.71,3.58,4.58,1.36,1.0,83.0,17.0,0.83,0.17
83,100.0,40.0,60.0,0.4,0.6,0.74,3.54,4.54,1.31,1.0,86.0,14.0,0.86,0.14
84,100.0,39.0,61.0,0.39,0.61,0.61,3.28,4.28,1.09,1.0,90.0,10.0,0.9,0.1
85,100.0,41.0,59.0,0.41,0.59,0.67,3.24,4.24,1.04,1.0,87.0,13.0,0.87,0.13
86,100.0,42.0,58.0,0.42,0.58,0.69,3.52,4.52,1.16,1.0,93.0,7.0,0.93,0.07
87,100.0,40.0,60.0,0.4,0.6,0.7,3.62,4.62,1.37,1.0,91.0,9.0,0.91,0.09
88,100.0,38.0,62.0,0.38,0.62,0.76,3.48,4.48,1.23,1.0,88.0,12.0,0.88,0.12
