trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,60,,,0,0,0,0,common,1.0,0.5,0.6931471803599453,0.15,0.0,0.5260663507109005,0.0,,,EXPLOIT
2,60,,,0,1,1,0,common,1.0,0.5,0.6354546081677415,0.255,0.0,0.5493262427328857,0.0,,,EXPLOIT
3,60,,,0,1,1,0,common,1.0,0.32499999999999996,0.6931471803599453,0.27599999999999997,0.0,0.570208762497792,0.0,,,EXPLOIT
4,60,,,0,1,1,0,common,0.0,0.7887500000000001,0.6679236599597097,0.42982499999999996,0.0,0.5890597666503006,0.0,,,EXPLOIT
5,60,,,0,0,0,0,common,0.0,0.675,0.643108341319719,0.5033775,0.0,0.5493687796677601,0.0,,,EXPLORE
6,60,,,0,0,0,0,common,1.0,0.5612499999999999,0.6823320630543123,0.52073925,0.0,0.5017236268147844,0.0,,,EXPLORE
7,60,,,0,1,1,0,common,0.0,0.5126875000000001,0.6640119985581474,0.518323725,0.0,0.44347026171509457,0.0,,,EXPLORE
8,60,,,0,0,0,0,common,0.0,0.6351875,0.5393937506579081,0.5533828575,0.0,0.3706261195231501,0.0,,,EXPLORE
9,60,,,0,0,0,0,common,1.0,0.587128125,0.680625895654885,0.56350643775,0.0,0.2769299527692217,0.0,,,EXPLORE
10,60,,,0,0,0,0,common,1.0,0.38163328125000007,0.553639489388999,0.5089444908,0.0,0.15194007478256166,0.0,,,EXPLORE
11,60,,,0,0,0,0,common,1.0,0.24806163281250004,0.43598659759836883,0.43067963340375,0.0,0.22921006275963257,0.0,,,EXPLORE
12,60,,,0,1,1,0,common,1.0,0.666753125,0.36071666634676575,0.5015016808826249,0.0,0.09090909090909093,0.0,,,EXPLORE
13,60,,,0,1,1,0,common,0.0,0.56661046875,0.5643937374036887,0.5210343172428374,0.0,0.09090909090909093,0.0,,,EXPLORE
14,60,,,0,1,1,0,common,0.0,0.36829680468750003,0.39050279534697196,0.47521306347623615,0.0,0.17965545529122232,0.0,,,EXPLORE
15,60,,,0,0,0,0,common,1.0,0.16124006132812507,0.2869142430164996,0.3810211628318028,0.0,0.25195053896963665,0.0,,,EXPLORE
16,60,,,0,0,0,0,common,1.0,0.1048060398632813,0.24754330688491585,0.2981566259412463,0.0,0.31197800201026266,0.0,,,EXPLORE
17,60,,,0,1,1,0,common,0.0,0.23939292304687504,0.22412607173769736,0.28052751507293494,0.0,0.3626137856372424,0.0,,,EXPLOIT
18,60,,,0,0,0,0,common,1.0,0.06812392591113281,0.17704749974008915,0.21680643832439428,0.0,0.4059000327452924,0.0,,,EXPLOIT
19,60,,,0,0,0,0,common,1.0,0.04428055184223634,0.16522871806131822,0.16504867237974688,0.0,0.4433268371345312,0.0,,,EXPLOIT
20,60,,,0,0,0,0,common,1.0,0.028782358697453603,0.15790549458697506,0.12416877827505889,0.0,0.4760069778008542,0.0,,,EXPLOIT
21,60,,,0,1,1,0,common,0.0,0.1556053999804688,0.15329377308223358,0.13359976478668184,0.0,0.5047882362938754,0.0,,,EXPLOIT
22,60,,,0,0,0,0,common,1.0,0.018708533153344864,0.13030637743781315,0.09913239529668075,0.0,0.5303278475182935,0.0,,,EXPLOIT
23,60,,,0,0,0,0,common,1.0,0.012160546549674134,0.12775519503279645,0.07304084067257875,0.0,0.5531431856165939,0.0,,,EXPLOIT
24,60,,,0,0,0,0,common,1.0,0.007904355257288165,0.1261204769959582,0.053499895047991575,0.0,0.5736470880232013,0.0,,,EXPLOIT
25,60,,,0,0,0,0,common,0.0,0.9948621690827627,0.1250677776323928,0.3359085772584229,0.0,0.5921729883276855,0.0,,,EXPLOIT
26,60,,,0,0,0,0,common,0.0,0.6466604099037958,0.32808807160601955,0.42913412705203474,0.0,0.6089931308257707,0.0,,,EXPLOIT
27,60,,,0,1,1,0,common,0.0,0.10114350998730472,0.5244992205354704,0.3307369419326157,0.0,0.6243319910980096,0.0,,,EXPLOIT
28,60,,,0,0,0,0,common,0.0,0.42032926643746726,0.4932807742125175,0.3576146392840711,0.0,0.6383763127966292,0.0,,,EXPLOIT
29,60,,,0,0,0,0,common,1.0,0.7267859768156463,0.6139417382886878,0.4683660405435436,0.0,0.6512827158657106,0.0,,,EXPLOIT
30,60,,,0,1,1,0,common,0.0,0.06574328149174807,0.397968778651019,0.3475792128280049,0.0,0.6631835351894628,0.0,,,EXPLOIT
31,60,,,0,0,0,0,common,1.0,0.47241088493017,0.37815170173931617,0.38502871445865444,0.0,0.6741913519251206,0.0,,,EXPLOIT
32,60,,,0,0,0,0,common,1.0,0.3070670752046105,0.25127088422939076,0.3616402226824412,0.0,0.6844025467383026,0.0,,,EXPLOIT
33,60,,,0,0,0,0,common,1.0,0.19959359888299688,0.18674155998268907,0.3130262355426079,0.0,0.6939001126991532,0.0,,,EXPLOIT
34,60,,,0,0,0,0,common,1.0,0.12973583927394794,0.1524616651217045,0.2580391166620099,0.0,0.7027559017630366,0.0,,,EXPLOIT
35,60,,,0,0,0,0,common,1.0,0.0843282955280662,0.1331666023936917,0.20592587032182677,0.0,0.7110324335798719,0.0,,,EXPLOIT
36,60,,,0,0,0,0,common,1.0,0.054813392093242985,0.12179458744670968,0.16059212685325164,0.0,0.7187843629845116,0.0,,,EXPLOIT
