trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,42,,,0,0,0,0,common,1.0,0.5,0.6931471803599453,0.15,0.0,0.5260663507109005,0.0,,,EXPLOIT
2,42,,,0,1,1,0,common,0.0,0.5,0.6354546081677415,0.255,0.0,0.5493262427328857,0.0,,,EXPLOIT
3,42,,,0,1,1,0,common,0.0,0.325,0.4973599657364365,0.276,0.0,0.570208762497792,0.0,,,EXPLOIT
4,42,,,0,0,0,0,common,1.0,0.32499999999999996,0.3963147262721458,0.2907,0.0,0.5890597666503006,0.0,,,EXPLOIT
5,42,,,0,0,0,0,common,1.0,0.21124999999999994,0.30322707875959565,0.26686499999999996,0.0,0.6061611288293314,0.0,,,EXPLOIT
6,42,,,0,0,0,0,common,0.0,0.8626875,0.2504437481192589,0.44561175,0.0,0.621744881595395,0.0,,,EXPLOIT
7,42,,,0,1,1,0,common,0.0,0.21125000000000002,0.4978070107380406,0.37530322499999996,0.0,0.6360037662619006,0.0,,,EXPLOIT
8,42,,,0,0,0,0,common,1.0,0.439253125,0.4317678835559499,0.39448819499999993,0.0,0.6490992118689946,0.0,,,EXPLOIT
9,42,,,0,0,0,0,common,1.0,0.28551453125000004,0.30347536284492915,0.36179609587499995,0.0,0.661167445672263,0.0,,,EXPLOIT
10,42,,,0,0,0,0,common,1.0,0.18558444531250007,0.2337342206810721,0.30893260070625,0.0,0.6723242264513416,0.0,,,EXPLOIT
11,42,,,0,0,0,0,common,1.0,0.12062988945312503,0.1952098970716389,0.25244178733031253,0.0,0.6826685496483146,0.0,,,EXPLOIT
12,42,,,0,0,0,0,common,0.0,0.9215905718554688,0.17300271867327383,0.4531864226878594,0.0,0.6922855757947949,0.0,,,EXPLOIT
13,42,,,0,0,0,0,common,1.0,0.4009661282939453,0.3980769746445999,0.4375203343696852,0.0,0.7012489657746,0.0,,,EXPLOIT
14,42,,,0,0,0,0,common,0.0,0.7393720166089356,0.2849455506645551,0.5280758390414603,0.0,0.6798766689823982,0.0,,,EXPLOIT
15,42,,,0,0,0,0,common,1.0,0.5194081892041919,0.5033227948372572,0.5254755440902797,0.0,0.6554763191947173,0.0,,,EXPLOIT
16,42,,,0,1,1,0,common,0.0,0.1373125,0.3445639222098702,0.4090266308631958,0.0,0.667058707031942,0.0,,,EXPLOIT
17,42,,,0,0,0,0,common,1.0,0.3376153229827247,0.3065539546592812,0.3876032384990544,0.0,0.6777828566020818,0.0,,,EXPLOIT
18,42,,,0,0,0,0,common,1.0,0.21944995993877103,0.22485633029303134,0.3371572549309694,0.0,0.6877402663832579,0.0,,,EXPLOIT
19,42,,,0,0,0,0,common,0.0,0.8573575260397989,0.1812523023811029,0.4932173362636182,0.0,0.6970098751717344,0.0,,,EXPLOIT
20,42,,,0,0,0,0,common,1.0,0.44271760807413074,0.3926063591830393,0.4780674178067719,0.0,0.7056601456264148,0.0,,,EXPLOIT
21,42,,,0,0,0,0,common,1.0,0.28776644524818495,0.2699535399524641,0.4209771260391958,0.0,0.7137507463619817,0.0,,,EXPLOIT
22,42,,,0,0,0,0,common,1.0,0.1870481894113203,0.20555539101662879,0.35079844505083313,0.0,0.7213339200251475,0.0,,,EXPLOIT
23,42,,,0,0,0,0,common,0.0,0.8784186768826419,0.17057166292060588,0.5090845146003757,0.0,0.7026145290646589,0.0,,,EXPLOIT
24,42,,,0,0,0,0,common,0.0,0.5709721399737172,0.380830258329128,0.5276508022123781,0.0,0.681428491761497,0.0,,,EXPLOIT
25,42,,,0,0,0,0,common,1.0,0.6288681090170838,0.5563470272423744,0.5580159942537898,0.0,0.6572551843619562,0.0,,,EXPLOIT
26,42,,,0,0,0,0,common,1.0,0.40876427086110445,0.3636703033198823,0.5132404772359842,0.0,0.6294163815180742,0.0,,,EXPLOIT
27,42,,,0,0,0,0,common,1.0,0.26569677605971787,0.25473332118649894,0.4389773668831043,0.0,0.6430435063587085,0.0,,,EXPLOIT
28,42,,,0,0,0,0,common,1.0,0.17270290443881664,0.19743549791070944,0.359095028149818,0.0,0.6555818241711457,0.0,,,EXPLOIT
29,42,,,0,0,0,0,common,1.0,0.1122568878852308,0.16601233793882858,0.2850435860704418,0.0,0.6671562533906719,0.0,,,EXPLOIT
30,42,,,0,0,0,0,common,1.0,0.07296697712540001,0.1479089490018018,0.22142060338692923,0.0,0.6778733076389436,0.0,,,EXPLOIT
31,42,,,0,0,0,0,common,1.0,0.04742853513151002,0.13706829815528457,0.16922298291030347,0.0,0.6878243649078549,0.0,,,EXPLOIT
32,42,,,0,0,0,0,common,0.0,0.9691714521645185,0.13039664664595146,0.40920752368656793,0.0,0.6970882638166098,0.0,,,EXPLOIT
33,42,,,0,0,0,0,common,1.0,0.370038556093063,0.33192382509288315,0.39745683340851645,0.0,0.7057333831825632,0.0,,,EXPLOIT
34,42,,,0,0,0,0,common,1.0,0.24052506146049102,0.238131337680962,0.35037730182410876,0.0,0.7138193210190452,0.0,,,EXPLOIT
35,42,,,0,1,1,0,common,0.0,0.089253125,0.18848863321145487,0.2720400487768761,0.0,0.7213982601795622,0.0,,,EXPLOIT
36,42,,,0,0,0,0,common,1.0,0.15634128994931917,0.17232033898863433,0.23733042112860903,0.0,0.7285160868186741,0.0,,,EXPLOIT
37,42,,,0,0,0,0,common,1.0,0.10162183846705752,0.14677971693349257,0.19661784633014356,0.0,0.7352133123382715,0.0,,,EXPLOIT
38,42,,,0,0,0,0,common,1.0,0.06605419500358733,0.13197271271776456,0.1574487509321767,0.0,0.7415258379556308,0.0,,,EXPLOIT
39,42,,,0,0,0,0,common,1.0,0.042935226752331745,0.12306079935100789,0.1230946936782232,0.0,0.7474855923684848,0.0,,,EXPLOIT
40,42,,,0,0,0,0,common,1.0,0.027907897389015668,0.11755598192577396,0.09453865479146094,0.0,0.7531210664295225,0.0,,,EXPLOIT
41,42,,,0,0,0,0,common,1.0,0.01814013330286013,0.11409581845621761,0.0716190983448807,0.0,0.758457763728196,0.0,,,EXPLOIT
42,42,,,0,0,0,0,common,0.0,0.9882089133531409,0.11189553628712418,0.34659604284735873,0.0,0.7635185821159722,0.0,,,EXPLOIT
43,42,,,0,0,0,0,common,1.0,0.3576642063204585,0.29807707111734816,0.34991649188928864,0.0,0.7683241382150949,0.0,,,EXPLOIT
44,42,,,0,1,1,0,common,0.0,0.05801453125,0.21384628616093768,0.26234590369750205,0.0,0.7728930446101442,0.0,,,EXPLOIT
45,42,,,0,0,0,0,common,0.0,0.767518265891702,0.20206518438747395,0.41389761235576206,0.0,0.7772421475807275,0.0,,,EXPLOIT
46,42,,,0,0,0,0,common,0.0,0.4988868728296063,0.39854994840727875,0.4393943904979153,0.0,0.7813867317766667,0.0,,,EXPLOIT
47,42,,,0,0,0,0,common,1.0,0.6757235326607559,0.5524264102225048,0.5102931331467675,0.0,0.7695079746822022,0.0,,,EXPLOIT
48,42,,,0,0,0,0,common,1.0,0.4392202962294913,0.34620021022476083,0.48897128207158463,0.0,0.7740194422418368,0.0,,,EXPLOIT
49,42,,,0,0,0,0,common,1.0,0.2854931925491694,0.2339282679864093,0.42792785521486004,0.0,0.7783151346261821,0.0,,,EXPLOIT
50,42,,,0,1,1,0,common,1.0,0.9622905546875,0.17681849746622358,0.588236665056652,0.0,0.7661255702486451,0.0,,,EXPLOIT
51,42,,,0,1,1,0,common,1.0,0.625488860546875,0.4171730182229615,0.5994123237037188,0.0,0.7526614118266475,0.0,,,EXPLOIT
52,42,,,0,0,0,0,common,1.0,0.18557057515696007,0.604244122571141,0.47525979913969113,0.0,0.7580221921649927,0.0,,,EXPLOIT
53,42,,,0,1,1,0,common,0.0,0.5934322406445312,0.5529465396464461,0.5107115315911431,0.0,0.7436741519944912,0.0,,,EXPLOIT
54,42,,,0,0,0,0,common,1.0,0.12062087385202402,0.37068656884249196,0.3936843342694074,0.0,0.7495160293915465,0.0,,,EXPLOIT
55,42,,,0,0,0,0,common,1.0,0.07840356800381565,0.3358116956516895,0.2991001043897299,0.0,0.7550429742314438,0.0,,,EXPLOIT
56,42,,,0,0,0,0,common,1.0,0.05096231920248018,0.3141169461924621,0.22465876883355496,0.0,0.7602795273249932,0.0,,,EXPLOIT
57,42,,,0,0,0,0,common,1.0,0.03312550748161214,0.30046939179367566,0.16719879042797212,0.0,0.7652477445827399,0.0,,,EXPLOIT
58,42,,,0,0,0,0,common,1.0,0.02153157986304788,0.291799232492962,0.12349862725849484,0.0,0.7699675037706302,0.0,,,EXPLOIT
59,42,,,0,0,0,0,common,1.0,0.01399552691098116,0.28625044188975,0.09064769715424073,0.0,0.7744567669185535,0.0,,,EXPLOIT
60,42,,,0,0,0,0,common,1.0,0.009097092492137748,0.282680877996639,0.06618251575560984,0.0,0.7787318056855006,0.0,,,EXPLOIT
61,42,,,0,0,0,0,common,1.0,0.005913110119889486,0.28037647371977803,0.04810169406489373,0.0,0.7828073956419402,0.0,,,EXPLOIT
62,42,,,0,0,0,0,common,1.0,0.0038435215779282217,0.2788853212996583,0.03482424231880408,0.0,0.7866969843585235,0.0,,,EXPLOIT
63,42,,,0,1,1,0,common,0.0,0.3857309564189453,0.27791891510591604,0.14009625654884644,0.0,0.7904128373306547,0.0,,,EXPLOIT
64,42,,,0,0,0,0,common,1.0,0.0024982890256532997,0.19261889394583298,0.0988168662918885,0.0,0.7939661650752562,0.0,,,EXPLOIT
65,42,,,0,0,0,0,common,1.0,0.001623887866674667,0.19214183907901206,0.06965897276432435,0.0,0.7973672341741832,0.0,,,EXPLOIT
66,42,,,0,0,0,0,common,1.0,0.0010555271133385613,0.19183226288889413,0.04907793906902862,0.0,0.8006254645811257,0.0,,,EXPLOIT
67,42,,,0,0,0,0,common,1.0,0.0006860926236700315,0.19163125350640248,0.034560385135421035,0.0,0.8037495151344243,0.0,,,EXPLOIT
68,42,,,0,0,0,0,common,1.0,0.0004459602053855649,0.19150068827413697,0.024326057656410393,0.0,0.8067473589105266,0.0,,,EXPLOIT
69,42,,,0,0,0,0,common,1.0,0.00028987413350056723,0.19141585925572402,0.017115202599537443,0.0,0.8096263497988926,0.0,,,EXPLOIT
70,42,,,0,0,0,0,common,1.0,0.00018841818677539646,0.19136073660805433,0.012037167275708829,0.0,0.812393281468756,0.0,,,EXPLOIT
71,42,,,0,0,0,0,common,1.0,0.00012247182140401325,0.1913249137369688,0.008462758639417383,0.0,0.8150544397231475,0.0,,,EXPLOIT
72,42,,,0,1,1,0,common,0.0,0.2507251216723144,0.19130163176466952,0.0811414675492865,0.0,0.8176156490894763,0.0,,,EXPLOIT
73,42,,,0,0,0,0,common,0.0,0.9999203933160874,0.1482736442438333,0.35677514527932674,0.0,0.8200823143735514,0.0,,,EXPLOIT
74,42,,,0,0,0,0,common,1.0,0.3500517443445432,0.376345113494282,0.35475812499889164,0.0,0.8224594578010113,0.0,,,EXPLOIT
75,42,,,0,0,0,0,common,1.0,0.22753363382395309,0.2795550865813987,0.3165907776464101,0.0,0.8247517522833201,0.0,,,EXPLOIT
76,42,,,0,0,0,0,common,1.0,0.1478968619855695,0.22619384158114964,0.2659826029481579,0.0,0.8269635512720305,0.0,,,EXPLOIT
77,42,,,0,0,0,0,common,1.0,0.09613296029062024,0.19585211058536312,0.21502771015089658,0.0,0.8290989156026805,0.0,,,EXPLOIT
78,42,,,0,0,0,0,common,1.0,0.062486424188903156,0.17793072003863045,0.16926532436229855,0.0,0.8311616376766081,0.0,,,EXPLOIT
79,42,,,0,0,0,0,common,1.0,0.040616175722787085,0.1670192637226558,0.1306705797704451,0.0,0.833155263283675,0.0,,,EXPLOIT
80,42,,,0,0,0,0,common,1.0,0.0264005142198116,0.16023018567143887,0.09938956010525504,0.0,0.8350831113301026,0.0,,,EXPLOIT
