trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,44,,,0,0,0,0,common,1.0,0.5,0.6931471803599453,0.15,0.0,0.5260663507109005,0.0,,,EXPLOIT
2,44,,,0,1,1,0,common,0.0,0.5,0.6354546081677415,0.255,0.0,0.5493262427328857,0.0,,,EXPLOIT
3,44,,,0,1,1,0,common,0.0,0.325,0.4973599657364365,0.276,0.0,0.570208762497792,0.0,,,EXPLOIT
4,44,,,0,0,0,0,common,0.0,0.675,0.3963147262721458,0.39570000000000005,0.0,0.5890597666503006,0.0,,,EXPLOIT
5,44,,,0,0,0,0,common,1.0,0.5612499999999999,0.5994434819992212,0.445365,0.0,0.6061611288293314,0.0,,,EXPLOIT
6,44,,,0,0,0,0,common,0.0,0.6351875,0.4313208108565832,0.50231175,0.0,0.5696552479501404,0.0,,,EXPLOIT
7,44,,,0,1,1,0,common,1.0,0.78875,0.6180077659181356,0.5882432249999999,0.0,0.5261744038362716,0.0,,,EXPLORE
8,44,,,0,0,0,0,common,1.0,0.587128125,0.6821859970705818,0.5879086949999999,0.0,0.47351140070032555,0.0,,,EXPLORE
9,44,,,0,1,1,0,common,0.0,0.48731250000000004,0.6599417093487672,0.5577298364999999,0.0,0.4084179514315279,0.0,,,EXPLORE
10,44,,,0,0,0,0,common,1.0,0.38163328125000007,0.5396735817862164,0.5049008699249999,0.0,0.32590879015280994,0.0,,,EXPLORE
11,44,,,0,1,1,0,common,0.0,0.316753125,0.4213516940345121,0.44845654644749994,0.0,0.37446985694303075,0.0,,,EXPLORE
12,44,,,0,1,1,0,common,0.0,0.20588953125000004,0.3276652760412063,0.37568644188824996,0.0,0.41611210985060654,0.0,,,EXPLORE
13,44,,,0,0,0,0,common,0.0,0.7519383671875,0.27339498267139295,0.4885620194780249,0.0,0.45221416829236544,0.0,,,EXPLOIT
14,44,,,0,0,0,0,common,0.0,0.488759938671875,0.49297292334429416,0.4886213952361799,0.0,0.4838111988115167,0.0,,,EXPLORE
15,44,,,0,1,1,0,common,0.0,0.1338281953125,0.6298456858043111,0.38218343525907594,0.0,0.5116955990371383,0.0,,,EXPLORE
16,44,,,0,0,0,0,common,1.0,0.6823060398632812,0.5970455201495468,0.47222021664033753,0.0,0.5364842243900271,0.0,,,EXPLOIT
17,44,,,0,0,0,0,common,1.0,0.4434989259111328,0.3913237118641903,0.4636038294215761,0.0,0.5586644476759524,0.0,,,EXPLORE
18,44,,,0,0,0,0,common,0.0,0.7117256981577637,0.26871934004050596,0.5380403900424323,0.0,0.5129532846040883,0.0,,,EXPLOIT
19,44,,,0,1,1,0,common,0.0,0.086988326953125,0.4744847458528663,0.4027247711156401,0.0,0.5376063008247357,0.0,,,EXPLORE
20,44,,,0,0,0,0,common,1.0,0.5373782961974536,0.4472364065982256,0.4431208286401841,0.0,0.5596716732583058,0.0,,,EXPLOIT
21,44,,,0,0,0,0,common,1.0,0.3492958925283448,0.290745292229894,0.41497334780663225,0.0,0.5795355421338944,0.0,,,EXPLOIT
22,44,,,0,0,0,0,common,0.0,0.7729576698565759,0.2097774922836621,0.5223686444216153,0.0,0.5380078803755517,0.0,,,EXPLOIT
23,44,,,0,1,1,0,common,1.0,0.9434575874804687,0.41192513850915646,0.6486953273392713,0.0,0.48793935743974165,0.0,,,EXPLORE
