seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
46,0,open,0.0,7,3,0,6,7.02535169073515,explore,exploit,False,stage3_1a,full
46,1,covered,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,2,open,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,3,open,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
46,4,covered,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,5,open,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
46,6,open,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,7,open,0.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
46,8,open,1.0,7,2,0,6,6.02535169073515,explore,exploit,False,stage3_1a,full
46,9,open,0.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
46,10,covered,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,11,open,1.0,7,5,0,6,9.02535169073515,explore,exploit,False,stage3_1a,full
46,12,covered,0.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
46,13,open,1.0,7,4,0,6,8.02535169073515,explore,exploit,False,stage3_1a,full
46,14,open,0.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
46,15,open,0.0,7,5,0,6,9.02535169073515,explore,exploit,False,stage3_1a,full
46,16,open,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
46,17,open,1.0,7,4,0,6,8.02535169073515,explore,exploit,False,stage3_1a,full
46,18,open,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,19,open,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,20,open,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
46,21,covered,0.0,7,3,0,6,7.02535169073515,explore,exploit,False,stage3_1a,full
46,22,open,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
46,23,open,1.0,7,2,0,6,6.02535169073515,explore,exploit,False,stage3_1a,full
46,24,covered,1.0,5,2,0,4,5.401197381662155,explore,exploit,False,stage3_1a,full
46,25,covered,1.0,5,1,0,4,4.401197381662155,explore,exploit,False,stage3_1a,full
46,26,covered,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,27,open,1.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
46,28,open,1.0,7,3,0,6,7.02535169073515,explore,exploit,False,stage3_1a,full
46,29,open,0.0,4,0,0,3,2.995732273553991,explore,exploit,False,stage3_1a,full
