trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,64,,,0,1,0,0,rare,1.0,0.5,0.6931471803599453,0.15,0.0,0.5,0.5,,,EXPLOIT
2,64,,,0,0,0,0,common,1.0,0.32499999999999996,0.6354546081677415,0.20249999999999999,0.0,0.5260663507109005,0.5433789954337899,,,EXPLOIT
3,64,,,0,0,1,1,rare,1.0,0.5,0.6931471803599453,0.29174999999999995,0.0,0.5493262427328857,0.5794962364913165,,,EXPLOIT
4,64,,,0,0,1,1,rare,1.0,0.32499999999999996,0.6679236599597097,0.30172499999999997,0.0,0.570208762497792,0.6100329171214658,,,EXPLOIT
5,64,,,0,0,0,0,common,1.0,0.21124999999999994,0.6273643708018145,0.27458249999999995,0.0,0.5890597666503006,0.6361884525043351,,,EXPLOIT
6,64,,,0,0,0,0,common,0.0,0.8626875,0.5932338645417383,0.45101399999999997,0.0,0.6061611288293314,0.65884152052499,,,EXPLOIT
7,64,,,0,0,1,0,rare,1.0,0.5,0.6795520214255495,0.46570979999999995,0.0,0.621744881595395,0.678650554588017,,,EXPLORE
8,64,,,0,0,1,0,rare,0.0,0.675,0.6860481565138801,0.52849686,0.0,0.6360037662619006,0.6961186809978029,,,EXPLOIT
9,64,,,0,0,1,1,rare,1.0,0.21124999999999994,0.6209021190102998,0.4333228019999999,0.0,0.6047131413982115,0.6561034018727876,,,EXPLORE
10,64,,,0,0,0,1,common,0.0,0.5,0.6927238969556191,0.4533259613999999,0.0,0.6204228131231135,0.67624677263884,,,EXPLOIT
11,64,,,0,1,1,0,common,0.0,0.4387500000000001,0.5855626621312746,0.4489531729799999,0.0,0.6347919368905967,0.6939916398206352,,,EXPLOIT
12,64,,,0,0,0,1,common,0.0,0.325,0.6929682993919243,0.41176722108599995,0.0,0.6479844409651809,0.7097415717273394,,,EXPLOIT
13,64,,,0,0,1,1,rare,1.0,0.13731249999999995,0.6446218241315033,0.3294308047601999,0.0,0.6601385730229317,0.7238144069865298,,,EXPLOIT
14,64,,,0,0,1,1,rare,1.0,0.08925312499999993,0.6762781070808687,0.2573775008321399,0.0,0.6713717394618438,0.7364638709340466,,,EXPLOIT
15,64,,,0,0,0,1,common,0.0,0.21125000000000002,0.5769410622296076,0.24353925058249792,0.0,0.6817842901401749,0.7478949654236443,,,EXPLOIT
16,64,,,0,0,1,1,rare,1.0,0.05801453125,0.6927958459577698,0.18788183478274856,0.0,0.6914625072580189,0.7582751286889017,,,EXPLOIT
17,64,,,0,0,0,1,common,1.0,0.8626875,0.6156313717954277,0.390323534347924,0.0,0.7004809870164675,0.7677424622311374,,,EXPLOIT
18,64,,,0,0,0,0,common,1.0,0.439253125,0.515282444463087,0.40500241154354677,0.0,0.7089045532648314,0.7764118862944455,,,EXPLOIT
19,64,,,0,0,0,0,common,1.0,0.28551453125000004,0.4430591558512481,0.3691560474554827,0.0,0.7167898070286997,0.7843798078994444,,,EXPLOIT
20,64,,,0,1,1,1,common,1.0,0.03770944531249998,0.39659279176005835,0.26972206681258787,0.0,0.724186390264202,0.7917277045396806,,,EXPLOIT
21,64,,,0,1,1,1,common,1.0,0.024511139453124997,0.5686066930786344,0.196158788604749,0.0,0.7311380234930727,0.7985249064486903,,,EXPLOIT
22,64,,,0,1,0,0,rare,1.0,0.18558444531250007,0.6557900040635691,0.1929864856170743,0.0,0.7376833631535231,0.8048307790204838,,,EXPLOIT
23,64,,,0,0,1,1,rare,1.0,0.015932240644531248,0.686844876816183,0.13987021212531137,0.0,0.7438567141825849,0.8106964510288572,,,EXPLOIT
24,64,,,0,0,0,0,common,1.0,0.12062988945312503,0.6770135943631669,0.13409811532365545,0.0,0.749688625568438,0.8161661952305451,,,EXPLOIT
25,64,,,0,0,0,0,common,1.0,0.07840942814453122,0.6683309435937967,0.11739150916991817,0.0,0.7552063906989348,0.8212785402795562,,,EXPLOIT
26,64,,,0,0,0,0,common,0.0,0.9490338717060547,0.6617722166158315,0.3668842179307591,0.0,0.7604344698011415,0.8260671730426774,,,EXPLOIT
27,64,,,0,0,0,1,common,0.0,0.439253125,0.6097915058323046,0.38859489005153136,0.0,0.7653948482669123,0.8305616760070197,,,EXPLOIT
28,64,,,0,1,1,1,common,1.0,0.010355956418945267,0.4217659037258422,0.2751232099617555,0.0,0.7701073419368211,0.8347881339020714,,,EXPLOIT
29,64,,,0,1,1,1,common,0.0,0.9932686283276856,0.37491121837853697,0.49056683547153446,0.0,0.7745898582820534,0.8387696358211856,,,EXPLOIT
30,64,,,0,1,0,1,rare,0.0,0.28551453125000004,0.6362416382378981,0.42905114420507406,0.0,0.7788586207424372,0.8425266932585872,,,EXPLOIT
31,64,,,0,0,1,1,rare,1.0,0.3543753915870044,0.6912314792864834,0.40664841841965316,0.0,0.7829283621449716,0.8460775900432929,,,EXPLOIT
32,64,,,0,0,0,0,common,1.0,0.38312798339106435,0.592220575060532,0.3995922879110765,0.0,0.7868124920629574,0.8494386767716998,,,EXPLOIT
33,64,,,0,0,0,0,common,1.0,0.24903318920419182,0.4785945314168092,0.35442455829901104,0.0,0.7905232421219351,0.8526246197442834,,,EXPLOIT
34,64,,,0,0,0,0,common,1.0,0.1618715729827247,0.40121552652345394,0.2966586627041251,0.0,0.7940717925698871,0.8556486124022149,,,EXPLOIT
35,64,,,0,1,1,1,common,1.0,0.2303440045315528,0.3530715111195294,0.2767642652523534,0.0,0.7974683828708287,0.8585225556930398,,,EXPLOIT
36,64,,,0,0,0,0,common,1.0,0.10521652243877111,0.542949813183261,0.22529994240827872,0.0,0.8007224086261028,0.861257212564979,,,EXPLOIT
37,64,,,0,0,0,1,common,1.0,0.8144155546875,0.5110222846188995,0.4020346260920451,0.0,0.8038425067555388,0.8638623408182108,,,EXPLOIT
38,64,,,0,1,1,1,common,1.0,0.14972360294550935,0.48981293930730885,0.32634131914808434,0.0,0.8068366305647459,0.8663468077697131,,,EXPLOIT
39,64,,,0,1,1,1,common,1.0,0.09732034191458105,0.6068131902810068,0.25763502597803334,0.0,0.8097121160723513,0.868718689571408,,,EXPLOIT
40,64,,,0,1,1,1,common,1.0,0.06325822224447775,0.6624654906918511,0.19932198485796665,0.0,0.8124757407617892,0.8709853575256513,,,EXPLOIT
41,64,,,0,1,0,1,rare,0.0,0.470629889453125,0.6844499636306798,0.28071435623651414,0.0,0.8151337757481992,0.8731535533416689,,,EXPLOIT
42,64,,,0,0,0,0,common,0.0,0.9316092604147987,0.47280710714996754,0.47598282748999954,0.0,0.817692032205686,0.87522945495146,,,EXPLOIT
43,64,,,0,0,0,0,common,1.0,0.39445398073038085,0.6894540312515653,0.4515241734621139,0.0,0.8201559027784251,0.8772187342385153,,,EXPLOIT
44,64,,,0,0,1,1,rare,0.0,0.9588821555410895,0.6350475544303289,0.6037315680858065,0.0,0.8225303985967163,0.8791266078154238,,,EXPLOIT
45,64,,,0,0,0,0,common,1.0,0.2563950874747476,0.6778435179602804,0.4995306239024888,0.0,0.8144168471156586,0.8724552943283045,,,EXPLOIT
46,64,,,0,0,0,0,common,1.0,0.16665680685858597,0.6770760128072035,0.39966847878931794,0.0,0.8170018442709562,0.8745607159659403,,,EXPLOIT
47,64,,,0,0,0,0,common,1.0,0.1083269244580809,0.6146828680254479,0.3122660124899468,0.0,0.8194910198295359,0.87657771377938,,,EXPLOIT
48,64,,,0,0,1,1,rare,1.0,0.37672659889829185,0.5563794539734237,0.3316041884124503,0.0,0.8218894858329563,0.8785116479916463,,,EXPLOIT
49,64,,,0,0,1,1,rare,0.0,0.7551277107161103,0.5142767466780074,0.45866124510354833,0.0,0.8242019972511556,0.8803674543074979,,,EXPLOIT
50,64,,,0,0,1,0,rare,0.0,0.28518750000000004,0.6928229212018215,0.4066191215724838,0.0,0.8264329826270669,0.8821496851263508,,,EXPLOIT
51,64,,,0,1,1,1,common,0.0,0.4908330119654717,0.6231507141035655,0.4318832886903802,0.0,0.828586571618492,0.8838625460454111,,,EXPLOIT
52,64,,,0,0,0,1,common,0.0,0.30590942814453126,0.6930101552050382,0.3940911305266255,0.0,0.8306666197976573,0.8855099282692204,,,EXPLOIT
53,64,,,0,1,1,1,common,0.0,0.3190414577775566,0.6623126616059727,0.37157622870190476,0.0,0.8326767310218112,0.8870954374513684,,,EXPLOIT
54,64,,,0,1,0,0,rare,1.0,0.07041250089775253,0.6930892826503348,0.2812271103606591,0.0,0.8346202776479551,0.8886224194183442,,,EXPLOIT
55,64,,,0,1,1,1,common,0.0,0.2073769475554118,0.5749496085569005,0.2590720615190849,0.0,0.836500418830266,0.8900939831617916,,,EXPLOIT
56,64,,,0,1,1,0,common,0.0,0.18537187500000002,0.6801729374955544,0.23696200556335945,0.0,0.838320117109068,0.8915130214316919,,,EXPLOIT
57,64,,,0,1,0,0,rare,0.0,0.9542318744164608,0.6907488118054272,0.45214296621928984,0.0,0.8400821534746055,0.8928822292175314,,,EXPLOIT
58,64,,,0,0,0,0,common,0.0,0.6202507183706996,0.669561095167942,0.5025752918647127,0.0,0.841789141066753,0.894204120365909,,,EXPLOIT
59,64,,,0,0,0,0,common,1.0,0.5968370330590453,0.6921324636705946,0.5308538142230125,0.0,0.8351867102641782,0.8889831584062586,,,EXPLOIT
