trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,46,,,0,0,1,1,rare,1.0,0.5,0.6931471803599453,0.15,0.0,0.0,0.5,,,EXPLOIT
2,46,,,0,0,1,1,rare,1.0,0.32499999999999996,0.6354546081677415,0.20249999999999999,0.0,0.0,0.5433789954337899,,,EXPLORE
3,46,,,0,1,1,1,common,1.0,0.21124999999999994,0.5505918514747256,0.20512499999999995,0.0,0.0,0.5794962364913165,,,EXPLORE
4,46,,,0,0,0,1,common,0.0,0.5,0.6679236599597097,0.29358749999999995,0.0,0.0,0.6100329171214658,,,EXPLORE
5,46,,,0,1,1,1,common,1.0,0.13731249999999995,0.643108341319719,0.24670499999999992,0.0,0.0,0.6361884525043351,,,EXPLORE
6,46,,,0,1,1,0,common,0.0,0.5,0.5611724967858519,0.32269349999999997,0.0,0.0,0.65884152052499,,,EXPLORE
7,46,,,0,1,1,1,common,1.0,0.08925312499999993,0.6931471803599453,0.25266138749999995,0.0,0.0,0.678650554588017,,,EXPLORE
8,46,,,0,0,0,0,common,1.0,0.5,0.6381844035846134,0.32686297124999997,0.0,0.0,0.6961186809978029,,,EXPLORE
9,46,,,0,1,1,1,common,0.0,0.94198546875,0.6931471803599453,0.5113997204999999,0.0,0.0,0.7116369601865663,,,EXPLORE
10,46,,,0,0,0,0,common,1.0,0.32499999999999996,0.5906439402507834,0.4554798043499999,0.0,0.0,0.6756587360654348,,,EXPLORE
11,46,,,0,0,1,1,rare,0.0,0.6122905546875,0.4973599657364365,0.5025230294512499,0.0,0.0,0.6934716112368869,,,EXPLORE
12,46,,,0,0,0,0,common,1.0,0.21124999999999994,0.6828683832369014,0.4151411206158749,0.0,0.0,0.6527436754082513,,,EXPLORE
13,46,,,0,0,0,0,common,1.0,0.13731249999999995,0.5889015842009813,0.3317925344311124,0.0,0.0,0.673300837378459,,,EXPLORE
14,46,,,0,0,1,0,rare,1.0,0.675,0.49605137168107966,0.43475477410177865,0.0,0.0,0.6913876283730743,,,EXPLORE
15,46,,,0,0,1,0,rare,0.0,0.56125,0.43213774893311374,0.472703341871245,0.0,0.0,0.7074233446713537,,,EXPLORE
16,46,,,0,1,1,1,common,1.0,0.6020111394531249,0.6653716963496729,0.5114956811458089,0.0,0.0,0.7217374744137499,,,EXPLORE
17,46,,,0,1,0,0,rare,1.0,0.08925312499999993,0.6820112918359804,0.38482291430206617,0.0,0.0,0.6882590236583955,,,EXPLORE
18,46,,,0,0,0,0,common,1.0,0.05801453125,0.6180895571389755,0.2867803993864463,0.0,0.0,0.7046412740922707,,,EXPLORE
19,46,,,0,1,0,0,rare,0.0,0.9622905546875,0.688411760017827,0.48943344597676236,0.0,0.0,0.7192475154352812,,,EXPLORE
20,46,,,0,0,0,0,common,1.0,0.374511139453125,0.6056841680249561,0.4549567540196711,0.0,0.0,0.7323510772203888,,,EXPLORE
21,46,,,0,0,0,0,common,0.0,0.7565677593554687,0.5252734943197601,0.5454400556204104,0.0,0.0,0.7441719386640362,,,EXPLORE
22,46,,,0,0,0,0,common,1.0,0.5082309564189453,0.6909969780524365,0.5342773258599709,0.0,0.0,0.7158918656981398,,,EXPLORE
23,46,,,0,0,0,0,common,0.0,0.6696498783276855,0.6209828792807578,0.5748890916002853,0.0,0.0,0.6809788813205235,,,EXPLORE
24,46,,,0,1,0,0,rare,1.0,0.5647275790870043,0.6889612531222689,0.571840637846301,0.0,0.0,0.636791935622907,,,EXPLORE
25,46,,,0,1,1,1,common,1.0,0.39130724064453126,0.6036734534251424,0.5176806186857701,0.0,0.0,0.5790732750136327,,,EXPLORE
26,46,,,0,0,0,0,common,1.0,0.36707292640655287,0.5096409236918455,0.4724983110020049,0.0,0.0,0.500487848607997,,,EXPLORE
27,46,,,0,0,0,1,common,0.0,0.325,0.6532517336367231,0.42824881770140344,0.0,0.0,0.5437818355020396,,,EXPLORE
28,46,,,0,0,1,1,rare,0.0,0.7456502935810547,0.4800880546052597,0.5234692604652987,0.0,0.0,0.5798344801742329,,,EXPLORE
29,46,,,0,0,0,0,common,1.0,0.2385974021642594,0.35220942982863973,0.43800770297498687,0.0,0.0,0.5015487591071671,,,EXPLORE
30,46,,,0,0,1,1,rare,1.0,0.5153273091723144,0.5735233033546492,0.4612035848341851,0.0,0.0,0.5446581406286175,,,EXPLORE
31,46,,,0,0,0,0,common,1.0,0.1550883114067686,0.6753216364551635,0.36936900280596013,0.0,0.0,0.580570449700449,,,EXPLORE
32,46,,,0,1,0,0,rare,1.0,0.10080740241439956,0.6928392254650202,0.28880052268849193,0.0,0.0,0.6109477308503672,,,EXPLORE
33,46,,,0,0,0,0,common,1.0,0.06552481156935974,0.6855373264995483,0.22181780935275225,0.0,0.0,0.6369768455260377,,,EXPLORE
34,46,,,0,1,1,1,common,1.0,0.33496275096200434,0.6930170462721522,0.25576129183552787,0.0,0.0,0.6595279639953153,,,EXPLORE
