trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,46,,,0,0,1,1,rare,1.0,0.5,0.6931471803599453,0.15,0.0,0.5,0.0,,,EXPLOIT
2,46,,,0,0,1,1,rare,1.0,0.32499999999999996,0.6354546081677415,0.20249999999999999,0.0,0.5260663507109005,0.0,,,EXPLOIT
3,46,,,0,0,0,0,common,1.0,0.5,0.5505918514747256,0.29174999999999995,0.0,0.5493262427328857,0.0,,,EXPLOIT
4,46,,,0,0,0,1,common,0.0,0.5,0.4860578635263486,0.35422499999999996,0.0,0.570208762497792,0.0,,,EXPLOIT
5,46,,,0,1,1,1,common,1.0,0.21124999999999994,0.6858209294008828,0.3113324999999999,0.0,0.5890597666503006,0.0,,,EXPLOIT
6,46,,,0,1,1,0,common,0.0,0.5,0.6677057572910239,0.3679327499999999,0.0,0.6061611288293314,0.0,,,EXPLOIT
7,46,,,0,1,1,1,common,1.0,0.13731249999999995,0.6642438832841835,0.2987466749999999,0.0,0.621744881595395,0.0,,,EXPLOIT
8,46,,,0,0,0,0,common,1.0,0.32499999999999996,0.6821859970705819,0.3066226724999999,0.0,0.6360037662619006,0.0,,,EXPLOIT
9,46,,,0,1,1,1,common,0.0,0.9107468750000001,0.6807272594762417,0.48785993325,0.0,0.6490992118689946,0.0,,,EXPLOIT
10,46,,,0,0,0,0,common,1.0,0.21124999999999994,0.5396735817862164,0.40487695327499995,0.0,0.661167445672263,0.0,,,EXPLOIT
11,46,,,0,0,1,1,rare,0.0,0.5919854687500001,0.4512906933752211,0.46100950791749995,0.0,0.6723242264513416,0.0,,,EXPLOIT
12,46,,,0,0,0,0,common,1.0,0.13731249999999995,0.6667229061046763,0.3639004055422499,0.0,0.6826685496483146,0.0,,,EXPLOIT
13,46,,,0,0,0,0,common,1.0,0.08925312499999993,0.5568968376562681,0.2815062213795749,0.0,0.6922855757947949,0.0,,,EXPLOIT
14,46,,,0,0,1,0,rare,1.0,0.675,0.4631554530387645,0.3995543549657024,0.0,0.7012489657746,0.0,,,EXPLOIT
15,46,,,0,0,1,0,rare,0.0,0.56125,0.4014199689993706,0.44806304847599165,0.0,0.7096227585168867,0.0,,,EXPLOIT
16,46,,,0,1,1,1,common,1.0,0.6152094453124999,0.6483676450610518,0.49820696752694404,0.0,0.7174628924103941,0.0,,,EXPLOIT
