agent_class,seed,latency,explore_pre,explore_shock,explore_post,v_g_mean,v_p_mean,n_explore_total
RheologicalAgent_NoVG,71,1,1.0,1.0,1.0,0.0,0.7396298550047858,1985
RheologicalAgent_NoVp,42,7,0.25,0.6666666666666666,0.0,0.7329642549253624,0.0,235
RheologicalAgent_NoVp,43,12,0.02,0.4666666666666667,0.14,0.6588736399062146,0.0,391
RheologicalAgent_NoVp,44,1,0.21,0.6,0.0,0.7075022419843526,0.0,250
RheologicalAgent_NoVp,45,7,0.53,0.03333333333333333,0.17,0.6256616456762445,0.0,544
RheologicalAgent_NoVp,46,27,0.0,0.03333333333333333,0.3,0.6407302759123384,0.0,413
RheologicalAgent_NoVp,47,238,0.0,0.0,0.0,0.6750294747986353,0.0,397
RheologicalAgent_NoVp,48,999,0.43,0.0,0.0,0.7748992863184686,0.0,124
RheologicalAgent_NoVp,49,165,0.0,0.0,0.17,0.7227235452320724,0.0,244
RheologicalAgent_NoVp,50,100,0.0,0.0,0.01,0.7855491405523112,0.0,56
RheologicalAgent_NoVp,51,1,0.17,0.7,0.37,0.7259943514300197,0.0,248
RheologicalAgent_NoVp,52,19,0.0,0.06666666666666667,0.45,0.7248814360822258,0.0,245
RheologicalAgent_NoVp,53,160,0.0,0.0,0.19,0.7760453056121851,0.0,92
RheologicalAgent_NoVp,54,1,0.07,0.9666666666666667,0.0,0.6825396592457973,0.0,357
RheologicalAgent_NoVp,55,18,0.04,0.06666666666666667,0.0,0.6844983659290373,0.0,346
RheologicalAgent_NoVp,56,310,0.0,0.0,0.0,0.6797938901195787,0.0,368
RheologicalAgent_NoVp,57,95,0.54,0.0,0.24,0.6714777835406077,0.0,323
RheologicalAgent_NoVp,58,30,0.0,0.0,0.0,0.7393996753125346,0.0,236
RheologicalAgent_NoVp,59,56,0.0,0.0,0.16,0.7280077284900055,0.0,237
RheologicalAgent_NoVp,60,1,0.56,0.9,0.41,0.6879725872572128,0.0,322
RheologicalAgent_NoVp,61,95,0.0,0.0,0.39,0.7211088242758852,0.0,221
RheologicalAgent_NoVp,62,8,0.0,0.5333333333333333,0.0,0.7320412470903723,0.0,175
RheologicalAgent_NoVp,63,6,0.0,0.8,0.0,0.6861619763829783,0.0,306
RheologicalAgent_NoVp,64,3,0.15,0.8333333333333334,0.0,0.7193671545711363,0.0,211
RheologicalAgent_NoVp,65,1,0.2,1.0,0.46,0.6414510604321524,0.0,442
RheologicalAgent_NoVp,66,1,0.42,0.8,0.0,0.7235960364842379,0.0,199
RheologicalAgent_NoVp,67,27,0.0,0.1,0.06,0.7329228396859885,0.0,212
RheologicalAgent_NoVp,68,999,0.0,0.0,0.0,0.7923359236699894,0.0,82
RheologicalAgent_NoVp,69,358,0.0,0.0,0.0,0.7211830139863237,0.0,254
RheologicalAgent_NoVp,70,260,0.0,0.0,0.0,0.7303404248260706,0.0,210
RheologicalAgent_NoVp,71,83,0.0,0.0,0.47,0.7193793836638855,0.0,223
