trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,53,,,0,1,1,1,common,1.0,0.5,0.6931471803599453,0.15,0.0,0.5,0.5,,,EXPLOIT
2,53,,,0,1,1,1,common,0.0,0.675,0.6354546081677415,0.3075,0.0,0.5260663507109005,0.5433789954337899,,,EXPLOIT
3,53,,,0,1,1,0,common,0.0,0.5,0.6856999791554921,0.36524999999999996,0.0,0.5493262427328857,0.5794962364913165,,,EXPLORE
4,53,,,0,1,1,1,common,0.0,0.4387500000000001,0.6087277722161555,0.3873,0.0,0.570208762497792,0.6100329171214658,,,EXPLOIT
5,53,,,0,1,0,1,rare,1.0,0.5,0.5284604082460104,0.42111,0.0,0.5890597666503006,0.6361884525043351,,,EXPLOIT
6,53,,,0,1,1,0,common,0.0,0.325,0.6914087310908732,0.392277,0.0,0.6061611288293314,0.65884152052499,,,EXPLOIT
7,53,,,0,1,1,1,common,1.0,0.7148125,0.6230638895262339,0.48903764999999993,0.0,0.621744881595395,0.678650554588017,,,EXPLOIT
8,53,,,0,1,1,0,common,0.0,0.21125000000000002,0.6884102242548333,0.40570135499999993,0.0,0.6360037662619006,0.6961186809978029,,,EXPLOIT
9,53,,,0,1,0,1,rare,0.0,0.675,0.653709274342382,0.48649094849999996,0.0,0.6490992118689946,0.7116369601865663,,,EXPLOIT
10,53,,,0,0,1,1,rare,1.0,0.46462812499999995,0.5676729234825938,0.47993210145,0.0,0.661167445672263,0.7255139427248888,,,EXPLOIT
11,53,,,0,0,0,0,common,1.0,0.5,0.41433546837356616,0.48595247101499994,0.0,0.6723242264513416,0.7379963399676884,,,EXPLOIT
12,53,,,0,0,1,1,rare,1.0,0.30200828125,0.31911631659081985,0.43076921408549995,0.0,0.6826685496483146,0.7492837770280747,,,EXPLOIT
13,53,,,0,0,0,0,common,1.0,0.32499999999999996,0.26447176437122033,0.39903844985984993,0.0,0.6922855757947949,0.7595395145573263,,,EXPLOIT
14,53,,,0,0,1,1,rare,1.0,0.19630538281249998,0.23260473168586307,0.3382185297456449,0.0,0.7012489657746,0.768898368448788,,,EXPLOIT
15,53,,,0,0,0,0,common,1.0,0.21124999999999994,0.21347820677132812,0.3001279708219514,0.0,0.7096227585168867,0.7774726461630808,,,EXPLOIT
16,53,,,0,0,0,0,common,1.0,0.13731249999999995,0.20171308270911237,0.251283329575366,0.0,0.7174628924103941,0.7853566559503021,,,EXPLOIT
17,53,,,0,0,0,0,common,1.0,0.08925312499999993,0.19434449654638764,0.20267426820275616,0.0,0.7248184468894128,0.7926301738076538,,,EXPLOIT
18,53,,,0,0,1,1,rare,0.0,0.872401501171875,0.18967150479661174,0.40359243809349177,0.0,0.7317326624513388,0.7993611388080243,,,EXPLOIT
19,53,,,0,0,1,1,rare,1.0,0.43293902423828123,0.44571420210305684,0.4123964139369286,0.0,0.738243783903643,0.8056077699950546,,,EXPLOIT
20,53,,,0,0,0,1,common,1.0,0.5612499999999999,0.3373902015931449,0.45705248975585,0.0,0.7443857615773001,0.8114202446680167,,,EXPLOIT
21,53,,,0,0,0,1,common,1.0,0.3648125,0.2749744344353294,0.42938049282909496,0.0,0.7501888376554396,0.8168420405416044,,,EXPLOIT
22,53,,,0,0,0,1,common,0.0,0.762871875,0.23880459092344175,0.5294279074803664,0.0,0.755680038992978,0.8219110177822814,,,EXPLOIT
23,53,,,0,0,0,1,common,0.0,0.49586671875,0.49396842290152615,0.5193595508612564,0.0,0.7410710631511334,0.8080252656722207,,,EXPLOIT
