seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,commit_reason,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
52,0,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,1,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,2,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
52,3,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
52,4,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,5,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,6,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,7,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,8,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,9,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,10,open,0.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
52,11,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,12,open,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,13,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,14,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,15,open,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
52,16,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
52,17,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,18,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,19,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
52,20,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,21,covered,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,22,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,23,open,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,24,open,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
52,25,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
52,26,open,0.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
52,27,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
52,28,open,1.0,7,4,0,6,bound,8.02535169073515,explore,exploit,False,stage3_1a,full
52,29,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,30,open,0.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
52,31,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
52,32,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,33,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,34,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
52,35,covered,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
52,36,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,37,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,38,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,39,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,40,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
52,41,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,42,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,43,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,44,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,45,covered,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
52,46,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,47,open,0.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
52,48,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,49,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
52,50,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
52,51,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
52,52,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
52,53,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
52,54,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
