seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,53.0,47.0,0.53,0.47,0.73,4.28,5.28,1.53,1.0,88.0,12.0,0.88,0.12
43,100.0,54.0,46.0,0.54,0.46,0.74,4.73,5.73,1.82,1.0,78.0,22.0,0.78,0.22
44,100.0,70.0,30.0,0.7,0.3,0.65,4.6,5.6,1.84,1.0,80.0,20.0,0.8,0.2
45,100.0,42.0,58.0,0.42,0.58,0.68,4.35,5.35,1.61,1.0,88.0,12.0,0.88,0.12
46,100.0,59.0,41.0,0.59,0.41,0.77,4.68,5.68,1.93,1.0,75.0,25.0,0.75,0.25
47,100.0,53.0,47.0,0.53,0.47,0.67,4.41,5.41,1.67,1.0,83.0,17.0,0.83,0.17
48,100.0,63.0,37.0,0.63,0.37,0.74,4.59,5.59,1.86,1.0,80.0,20.0,0.8,0.2
49,100.0,59.0,41.0,0.59,0.41,0.7,4.47,5.47,1.78,1.0,78.0,22.0,0.78,0.22
50,100.0,56.0,44.0,0.56,0.44,0.74,4.54,5.54,1.81,1.0,82.0,18.0,0.82,0.18
51,100.0,60.0,40.0,0.6,0.4,0.69,4.44,5.44,1.68,1.0,83.0,17.0,0.83,0.17
52,100.0,62.0,38.0,0.62,0.38,0.77,4.53,5.53,1.75,1.0,79.0,21.0,0.79,0.21
53,100.0,55.0,45.0,0.55,0.45,0.65,4.39,5.39,1.63,1.0,81.0,19.0,0.81,0.19
54,100.0,59.0,41.0,0.59,0.41,0.7,4.49,5.49,1.83,1.0,80.0,20.0,0.8,0.2
55,100.0,52.0,48.0,0.52,0.48,0.69,4.29,5.29,1.49,1.0,83.0,17.0,0.83,0.17
56,100.0,56.0,44.0,0.56,0.44,0.68,4.44,5.44,1.8,1.0,81.0,19.0,0.81,0.19
57,100.0,55.0,45.0,0.55,0.45,0.7,4.44,5.44,1.81,1.0,77.0,23.0,0.77,0.23
58,100.0,51.0,49.0,0.51,0.49,0.66,4.61,5.61,1.78,1.0,82.0,18.0,0.82,0.18
59,100.0,62.0,38.0,0.62,0.38,0.74,4.57,5.57,1.81,1.0,81.0,19.0,0.81,0.19
60,100.0,57.0,43.0,0.57,0.43,0.73,4.72,5.72,1.89,1.0,80.0,20.0,0.8,0.2
61,100.0,54.0,46.0,0.54,0.46,0.61,4.35,5.35,1.71,1.0,82.0,18.0,0.82,0.18
62,100.0,60.0,40.0,0.6,0.4,0.67,4.51,5.51,1.76,1.0,81.0,19.0,0.81,0.19
63,100.0,55.0,45.0,0.55,0.45,0.71,4.56,5.56,1.75,1.0,81.0,19.0,0.81,0.19
64,100.0,53.0,47.0,0.53,0.47,0.63,4.39,5.39,1.64,1.0,81.0,19.0,0.81,0.19
65,100.0,49.0,51.0,0.49,0.51,0.73,4.26,5.26,1.5,1.0,84.0,16.0,0.84,0.16
66,100.0,56.0,44.0,0.56,0.44,0.64,4.48,5.48,1.7,1.0,75.0,25.0,0.75,0.25
67,100.0,53.0,47.0,0.53,0.47,0.75,4.48,5.48,1.64,1.0,83.0,17.0,0.83,0.17
68,100.0,58.0,42.0,0.58,0.42,0.73,4.44,5.44,1.76,1.0,78.0,22.0,0.78,0.22
69,100.0,50.0,50.0,0.5,0.5,0.67,4.42,5.42,1.81,1.0,83.0,17.0,0.83,0.17
70,100.0,49.0,51.0,0.49,0.51,0.7,4.43,5.43,1.75,1.0,81.0,19.0,0.81,0.19
71,100.0,53.0,47.0,0.53,0.47,0.74,4.57,5.57,1.74,1.0,83.0,17.0,0.83,0.17
72,100.0,57.0,43.0,0.57,0.43,0.68,4.59,5.59,1.74,1.0,81.0,19.0,0.81,0.19
73,100.0,59.0,41.0,0.59,0.41,0.68,4.27,5.27,1.64,1.0,84.0,16.0,0.84,0.16
74,100.0,46.0,54.0,0.46,0.54,0.7,4.4,5.4,1.52,1.0,85.0,15.0,0.85,0.15
75,100.0,58.0,42.0,0.58,0.42,0.62,4.52,5.52,1.7,1.0,83.0,17.0,0.83,0.17
76,100.0,55.0,45.0,0.55,0.45,0.74,4.58,5.58,1.75,1.0,83.0,17.0,0.83,0.17
77,100.0,58.0,42.0,0.58,0.42,0.65,4.54,5.54,1.98,1.0,81.0,19.0,0.81,0.19
78,100.0,47.0,53.0,0.47,0.53,0.69,4.45,5.45,1.55,1.0,84.0,16.0,0.84,0.16
79,100.0,55.0,45.0,0.55,0.45,0.67,4.52,5.52,1.71,1.0,85.0,15.0,0.85,0.15
80,100.0,56.0,44.0,0.56,0.44,0.69,4.68,5.68,1.82,1.0,79.0,21.0,0.79,0.21
81,100.0,56.0,44.0,0.56,0.44,0.7,4.72,5.72,1.89,1.0,79.0,21.0,0.79,0.21
82,100.0,49.0,51.0,0.49,0.51,0.71,4.56,5.56,2.0,1.0,82.0,18.0,0.82,0.18
83,100.0,56.0,44.0,0.56,0.44,0.74,4.6,5.6,1.84,1.0,80.0,20.0,0.8,0.2
84,100.0,52.0,48.0,0.52,0.48,0.61,4.35,5.35,1.51,1.0,90.0,10.0,0.9,0.1
85,100.0,56.0,44.0,0.56,0.44,0.67,4.47,5.47,1.83,1.0,78.0,22.0,0.78,0.22
86,100.0,56.0,44.0,0.56,0.44,0.69,4.55,5.55,1.8,1.0,82.0,18.0,0.82,0.18
87,100.0,56.0,44.0,0.56,0.44,0.7,4.38,5.38,1.79,1.0,83.0,17.0,0.83,0.17
88,100.0,50.0,50.0,0.5,0.5,0.76,4.52,5.52,1.82,1.0,86.0,14.0,0.86,0.14
89,100.0,58.0,42.0,0.58,0.42,0.67,4.33,5.33,1.62,1.0,84.0,16.0,0.84,0.16
90,100.0,60.0,40.0,0.6,0.4,0.78,4.52,5.52,1.94,1.0,79.0,21.0,0.79,0.21
91,100.0,54.0,46.0,0.54,0.46,0.66,4.54,5.54,1.74,1.0,86.0,14.0,0.86,0.14
