seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,commit_reason,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
63,0,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
63,1,open,0.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
63,2,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,3,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,4,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,5,open,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,6,open,1.0,7,2,0,6,timeout,6.02535169073515,explore,exploit,False,stage3_1a,full
63,7,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,8,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,9,covered,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,10,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,11,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,12,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,13,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,14,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,15,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,16,open,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,17,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,18,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,19,open,1.0,7,2,0,6,timeout,6.02535169073515,explore,exploit,False,stage3_1a,full
63,20,open,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
63,21,covered,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,22,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,23,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,24,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,25,open,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,26,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,27,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,28,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,29,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,30,covered,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,31,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,32,covered,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
63,33,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,34,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,35,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,36,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,37,covered,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,38,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,39,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,40,open,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
63,41,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,42,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,43,open,0.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,44,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,45,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,46,covered,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,47,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,48,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,49,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,50,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,51,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,52,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,53,open,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,54,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,55,covered,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
63,56,covered,0.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
63,57,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,58,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,59,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,60,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,61,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,62,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,63,open,0.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
63,64,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,65,open,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
63,66,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
63,67,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,68,open,0.0,7,4,0,6,bound,8.02535169073515,explore,exploit,False,stage3_1a,full
63,69,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
63,70,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,71,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
63,72,covered,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
63,73,open,1.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
63,74,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
63,75,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
