seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,37.0,63.0,0.37,0.63,0.73,3.42,4.42,1.14,1.0,89.0,11.0,0.89,0.11
43,100.0,37.0,63.0,0.37,0.63,0.74,3.3,4.3,1.14,1.0,91.0,9.0,0.91,0.09
44,100.0,35.0,65.0,0.35,0.65,0.65,3.42,4.42,1.14,1.0,93.0,7.0,0.93,0.07
45,100.0,38.0,62.0,0.38,0.62,0.68,3.1,4.1,0.96,1.0,90.0,10.0,0.9,0.1
46,100.0,42.0,58.0,0.42,0.58,0.77,3.34,4.34,1.05,1.0,92.0,8.0,0.92,0.08
47,100.0,37.0,63.0,0.37,0.63,0.67,3.18,4.18,0.97,1.0,92.0,8.0,0.92,0.08
48,100.0,43.0,57.0,0.43,0.57,0.74,3.44,4.44,1.22,1.0,86.0,14.0,0.86,0.14
49,100.0,38.0,62.0,0.38,0.62,0.7,3.12,4.12,0.91,1.0,90.0,10.0,0.9,0.1
50,100.0,36.0,64.0,0.36,0.64,0.74,3.6,4.6,1.36,1.0,85.0,15.0,0.85,0.15
51,100.0,38.0,62.0,0.38,0.62,0.69,3.38,4.38,1.12,1.0,92.0,8.0,0.92,0.08
52,100.0,41.0,59.0,0.41,0.59,0.77,3.34,4.34,1.13,1.0,89.0,11.0,0.89,0.11
53,100.0,39.0,61.0,0.39,0.61,0.65,3.48,4.48,1.22,1.0,87.0,13.0,0.87,0.13
54,100.0,43.0,57.0,0.43,0.57,0.7,3.9,4.9,1.67,1.0,79.0,21.0,0.79,0.21
55,100.0,32.0,68.0,0.32,0.68,0.69,3.26,4.26,1.03,1.0,93.0,7.0,0.93,0.07
56,100.0,43.0,57.0,0.43,0.57,0.68,3.66,4.66,1.46,1.0,86.0,14.0,0.86,0.14
57,100.0,42.0,58.0,0.42,0.58,0.7,3.48,4.48,1.21,1.0,86.0,14.0,0.86,0.14
58,100.0,39.0,61.0,0.39,0.61,0.66,3.52,4.52,1.2,1.0,90.0,10.0,0.9,0.1
59,100.0,49.0,51.0,0.49,0.51,0.74,3.64,4.64,1.33,1.0,83.0,17.0,0.83,0.17
60,100.0,48.0,52.0,0.48,0.52,0.73,3.74,4.74,1.51,1.0,80.0,20.0,0.8,0.2
61,100.0,30.0,70.0,0.3,0.7,0.61,3.22,4.22,0.99,1.0,93.0,7.0,0.93,0.07
62,100.0,40.0,60.0,0.4,0.6,0.67,3.46,4.46,1.26,1.0,85.0,15.0,0.85,0.15
63,100.0,39.0,61.0,0.39,0.61,0.71,3.32,4.32,1.14,1.0,88.0,12.0,0.88,0.12
64,100.0,36.0,64.0,0.36,0.64,0.63,3.48,4.48,1.36,1.0,85.0,15.0,0.85,0.15
65,100.0,37.0,63.0,0.37,0.63,0.73,3.08,4.08,0.9,1.0,93.0,7.0,0.93,0.07
66,100.0,45.0,55.0,0.45,0.55,0.64,3.36,4.36,1.16,1.0,85.0,15.0,0.85,0.15
67,100.0,45.0,55.0,0.45,0.55,0.75,3.36,4.36,1.1,1.0,87.0,13.0,0.87,0.13
68,100.0,42.0,58.0,0.42,0.58,0.73,3.5,4.5,1.28,1.0,86.0,14.0,0.86,0.14
69,100.0,32.0,68.0,0.32,0.68,0.67,3.42,4.42,1.25,1.0,90.0,10.0,0.9,0.1
70,100.0,44.0,56.0,0.44,0.56,0.7,3.32,4.32,1.15,1.0,84.0,16.0,0.84,0.16
71,100.0,37.0,63.0,0.37,0.63,0.74,3.34,4.34,1.15,1.0,93.0,7.0,0.93,0.07
72,100.0,40.0,60.0,0.4,0.6,0.68,3.52,4.52,1.24,1.0,90.0,10.0,0.9,0.1
73,100.0,51.0,49.0,0.51,0.49,0.68,3.32,4.32,1.19,1.0,88.0,12.0,0.88,0.12
74,100.0,26.0,74.0,0.26,0.74,0.7,3.3,4.3,1.0,1.0,90.0,10.0,0.9,0.1
75,100.0,34.0,66.0,0.34,0.66,0.62,3.42,4.42,1.16,1.0,87.0,13.0,0.87,0.13
76,100.0,42.0,58.0,0.42,0.58,0.74,3.48,4.48,1.28,1.0,85.0,15.0,0.85,0.15
