seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
43,0,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,1,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,2,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,3,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,4,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,5,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,6,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,7,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,8,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
43,9,covered,1.0,0,0,0,1,-5.551115123125783e-17,exploit,exploit,False,stage3_1a,full
