path_choice,n_trials,mean_commit_latency,median_commit_latency,mean_junction_pause_duration,median_junction_pause_duration,mean_reorientation_count,p_commit_bound,p_commit_timeout
covered,3335,3.2575712143928035,2.0,4.2575712143928035,3.0,1.1004497751124438,0.8956521739130435,0.10434782608695652
open,1665,3.4108108108108106,2.0,4.410810810810811,3.0,1.2354354354354353,0.8648648648648649,0.13513513513513514
