seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,26.0,74.0,0.26,0.74,0.73,3.13,4.13,1.01,1.0,100.0,0.0,1.0,0.0
43,100.0,33.0,67.0,0.33,0.67,0.74,2.84,3.84,0.75,1.0,100.0,0.0,1.0,0.0
44,100.0,29.0,71.0,0.29,0.71,0.65,3.52,4.52,1.33,1.0,100.0,0.0,1.0,0.0
45,100.0,24.0,76.0,0.24,0.76,0.68,3.29,4.29,1.1,1.0,100.0,0.0,1.0,0.0
46,100.0,34.0,66.0,0.34,0.66,0.77,3.13,4.13,0.98,1.0,100.0,0.0,1.0,0.0
47,100.0,32.0,68.0,0.32,0.68,0.67,2.83,3.83,0.72,1.0,100.0,0.0,1.0,0.0
48,100.0,33.0,67.0,0.33,0.67,0.74,3.25,4.25,1.1,1.0,100.0,0.0,1.0,0.0
49,100.0,28.0,72.0,0.28,0.72,0.7,3.2,4.2,1.05,1.0,100.0,0.0,1.0,0.0
50,100.0,29.0,71.0,0.29,0.71,0.74,3.11,4.11,0.96,1.0,100.0,0.0,1.0,0.0
51,100.0,32.0,68.0,0.32,0.68,0.69,3.19,4.19,1.05,1.0,100.0,0.0,1.0,0.0
52,100.0,28.0,72.0,0.28,0.72,0.77,3.17,4.17,1.1,1.0,100.0,0.0,1.0,0.0
53,100.0,30.0,70.0,0.3,0.7,0.65,3.2,4.2,1.05,1.0,100.0,0.0,1.0,0.0
54,100.0,34.0,66.0,0.34,0.66,0.7,3.28,4.28,1.21,1.0,100.0,0.0,1.0,0.0
55,100.0,29.0,71.0,0.29,0.71,0.69,3.26,4.26,1.11,1.0,100.0,0.0,1.0,0.0
56,100.0,30.0,70.0,0.3,0.7,0.68,3.16,4.16,1.08,1.0,100.0,0.0,1.0,0.0
57,100.0,26.0,74.0,0.26,0.74,0.7,3.09,4.09,0.95,1.0,100.0,0.0,1.0,0.0
58,100.0,37.0,63.0,0.37,0.63,0.66,3.1,4.1,0.95,1.0,100.0,0.0,1.0,0.0
59,100.0,36.0,64.0,0.36,0.64,0.74,3.29,4.29,1.17,1.0,100.0,0.0,1.0,0.0
60,100.0,35.0,65.0,0.35,0.65,0.73,3.21,4.21,1.16,1.0,100.0,0.0,1.0,0.0
61,100.0,29.0,71.0,0.29,0.71,0.61,3.02,4.02,0.92,1.0,100.0,0.0,1.0,0.0
62,100.0,35.0,65.0,0.35,0.65,0.67,3.21,4.21,1.08,1.0,100.0,0.0,1.0,0.0
63,100.0,34.0,66.0,0.34,0.66,0.71,3.0,4.0,0.89,1.0,100.0,0.0,1.0,0.0
64,100.0,30.0,70.0,0.3,0.7,0.63,3.25,4.25,1.14,1.0,100.0,0.0,1.0,0.0
65,100.0,35.0,65.0,0.35,0.65,0.73,2.87,3.87,0.75,1.0,100.0,0.0,1.0,0.0
66,100.0,31.0,69.0,0.31,0.69,0.64,3.22,4.22,1.13,1.0,100.0,0.0,1.0,0.0
