exposure_q_bias,run_dir,n_seeds,n_trials_total,p_open_total,p_covered_total,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_commit_bound_total,p_commit_timeout_total,covered_rate_mean_across_seeds,covered_rate_std_across_seeds,seed_mean_commit_latency_mean,seed_mean_commit_latency_std,seed_mean_pause_mean,seed_mean_pause_std,seed_mean_reorientation_mean,seed_mean_reorientation_std
0.2,logs\stage3\stage3_1a\run_20260406_173154,50,5000,0.411,0.589,0.6946,4.4942,5.4942,1.7478,0.8148,0.1852,0.5890000000000001,0.051000000000000004,4.494199999999999,0.11818781663098776,5.494199999999999,0.11818781663098776,1.7477999999999998,0.14170800965365365
0.25,logs\stage3\stage3_1a\run_20260406_173219,50,5000,0.381,0.619,0.696,4.4764,5.4764,1.7342,0.818,0.182,0.6190000000000001,0.03832753579347361,4.476399999999999,0.12532773037121514,5.4764,0.12532773037121514,1.7342,0.13682236659260064
0.3,logs\stage3\stage3_1a\run_20260406_173237,50,5000,0.3638,0.6362,0.7024,3.4252,4.4252,1.1964,0.8794,0.1206,0.6362,0.04918902316574298,3.4252000000000002,0.16578588600963595,4.4252,0.16578588600963595,1.1964000000000001,0.16221911108127796
0.35,logs\stage3\stage3_1a\run_20260406_173300,50,5000,0.3404,0.6596,0.7032,3.4232,4.4232,1.1952,0.879,0.121,0.6596,0.050396825296837894,3.4232,0.18835540873571965,4.4232,0.1883554087357196,1.1952,0.17133872883852033
0.4,logs\stage3\stage3_1a\run_20260406_173326,50,5000,0.3194,0.6806,0.6992,3.4136,4.4136,1.1832,0.8826,0.1174,0.6805999999999999,0.04810031184930093,3.4136,0.17015005142520528,4.4136,0.1701500514252053,1.1832,0.16175833827039643
