agent_type,seed,coef_reward,p_reward,coef_trans,p_trans,coef_interaction,p_interaction,n_trials
MF,42,0.8980541338460515,6.542977520489666e-17,-0.11847202183101344,0.14864734178916444,0.03122962508733255,0.7714005691585168,1999
MF,43,1.1823403473739422,8.127956637863063e-30,-0.09313387512787076,0.23440535337080493,0.019985347777271973,0.8479647028640482,1999
MF,44,0.9634516692909673,5.819238928529695e-20,0.06510228261346639,0.41855063692664174,-0.047592166692737595,0.6513619154684618,1999
MF,45,0.8654590853159357,2.356616659149433e-16,-0.05243981541023741,0.5220671131371761,0.08042736347150373,0.4459107311808449,1999
MF,46,0.9635855766218426,6.402425786468796e-20,0.014822824058900808,0.8611483037778375,0.09161946981914369,0.38496080842298974,1999
MF,47,0.9704470688463768,9.721856582463315e-21,-0.023356751427831984,0.7714963131713204,0.12229106029014328,0.23925146156993615,1999
MF,48,1.0694706355351058,6.093037442791187e-24,-0.03279310649492901,0.6788450008055722,-0.06643664337739806,0.5307737418389564,1999
MF,49,0.9394978610332426,1.460208381214595e-19,-0.04283816593096976,0.5934790055248055,0.0326542934126254,0.7531623807420199,1999
MF,50,0.998244381387668,3.409859274444135e-21,-0.00638654160480837,0.9367135694868663,-0.025505502801234634,0.8092188110842634,1999
MF,51,0.8862854618168694,7.614813496892092e-18,-0.10023472675557486,0.20962772865382728,0.19998662272018683,0.05216862530703597,1999
MF,52,1.1284376805633312,4.7636548957503455e-26,0.16469985704329324,0.044533688750592014,-0.053866824283473,0.614331475295554,1999
MF,53,1.006225248215245,5.307421868245882e-22,-0.07320391845139267,0.3623741934160376,-0.05931916952576142,0.5697466523302936,1999
MF,54,1.1277860146086367,3.656525680971941e-25,-0.025817558150832292,0.7567536575124987,0.10713526741024085,0.32490104486125493,1999
MF,55,1.1011229227941806,6.387423714232743e-26,0.1590208011574099,0.050143139314938835,-0.15358876426659526,0.1419552989275696,1999
MF,56,1.0596709007089267,8.430981269646867e-23,-0.13039237826671654,0.12043512831260748,0.17697388612292092,0.10068254464093467,1999
MF,57,0.9816156213793056,3.64979346860924e-20,-0.06806405385261075,0.4014819473127219,0.08060085767411097,0.4501025161987682,1999
MF,58,1.09825042869212,8.411529380863473e-25,0.04002135383676743,0.6180812224605514,-0.01288336677402983,0.9039862464061981,1999
MF,59,1.03751545586785,8.29969608223739e-24,-0.09808055247808849,0.21241182523648794,0.07619393608208,0.4600315521613706,1999
MF,60,0.9434485288568837,1.7986243992235882e-19,-0.06250084132717162,0.4312536896010438,0.09051026281575565,0.38659509588466723,1999
MF,61,0.8547426190664377,1.270048581401552e-16,-0.009929675201176122,0.8982591569887141,0.09312552312473758,0.3672048727868793,1999
MF,62,1.1143383027406417,1.612807103944211e-26,-0.06341643558815074,0.4224186330070907,0.001581506686367231,0.9879323418866709,1999
MF,63,0.9976017641013377,5.3244063220041675e-22,0.02093025420825967,0.7921988745050379,0.04976027580041006,0.6305646857864013,1999
MF,64,0.9404200447358676,7.501331510311203e-19,-0.07351132604906895,0.36116221081707345,0.09489500993644903,0.3709142255663356,1999
MF,65,0.955061067297143,8.930157129326249e-21,0.0049694961673859275,0.9490415609127633,0.1864687964055737,0.06798079444379146,1999
MF,66,0.9395854933024933,1.4362010190441997e-19,0.12876656873822795,0.10572638084510153,-0.06808614023609379,0.5119763863161626,1999
MF,67,0.9823673749426959,2.2193420798131354e-20,0.08618251698557607,0.2947225220144549,-0.1367006069050768,0.19797323106396936,1999
MF,68,1.2190534548552363,6.962724816483666e-30,0.14063796958679012,0.08141869066669838,-0.17123657343351462,0.11069582588206288,1999
MF,69,0.9841916274919951,8.016095974957838e-21,0.07227383646304897,0.36529237501647616,-0.0014447717803388184,0.98903784816047,1999
MF,70,0.7571656546607775,2.4170830806070646e-13,-0.03327169538830492,0.6858341709447688,0.11712829941478095,0.25726282179807647,1999
MF,71,0.9647449850304075,7.929285808490584e-20,0.02861054368364913,0.7269200541856036,-0.016084267981319435,0.8792252616505173,1999
MB,42,-0.01870420965726848,0.8556387200921478,-0.1154477640592641,0.16241313246834044,0.29777128144916093,0.003775832076116316,1999
MB,43,0.14008630998200045,0.1659025060297299,-0.12233302765564952,0.12548290542185073,0.19169108233500412,0.057976519758386,1999
MB,44,0.11586750113919672,0.2545055443774412,-0.13096478817468302,0.1070363388934995,0.1837317043347737,0.07078258927623333,1999
MB,45,-0.04681486329223324,0.6403634062531889,-0.185881368846665,0.017053734013608473,0.40691698578576696,4.889564557033518e-05,1999
MB,46,0.0922198702955686,0.3668016522503622,-0.14725024504802026,0.06481838271243165,0.29096563734813324,0.004407198206570518,1999
MB,47,0.1284882958640518,0.20805630784283125,-0.20519913052194927,0.01114161914147405,0.38605309962741546,0.00015523142035673123,1999
MB,48,-0.11786803274788037,0.24027329733090952,-0.22769055518909712,0.004496038534818036,0.3032306461176151,0.002519016762149915,1999
MB,49,-0.03678255629825507,0.7155592521849617,-0.24445285617855306,0.002211768044328707,0.4207154570110027,3.07318202724031e-05,1999
MB,50,0.17566497654498187,0.08975376034673264,-0.29314201750879204,0.0004786540950943483,0.3913876965447144,0.0001566379523915988,1999
MB,51,0.04215680341200194,0.679618741276178,-0.26988319889849477,0.0009022642112191083,0.33841395993455187,0.0009156880417872365,1999
MB,52,0.04977540401777665,0.6224633416224112,-0.16309416344849778,0.04237204685931174,0.2345577433515557,0.020331727358506517,1999
MB,53,-0.0956081360120601,0.35537661779887075,-0.2896813360522145,0.000470263288506277,0.3871611648855329,0.00018216024158619056,1999
MB,54,-0.056684095423258946,0.5812548188439008,-0.4261554399649058,7.046025837498098e-08,0.7378212411256712,7.011259841249323e-13,1999
MB,55,-0.054631092814468776,0.6014138601032749,-0.317425878466461,0.00017614095959865152,0.5468294222857918,1.707600140775449e-07,1999
MB,56,-0.03375306667305959,0.7407495280204683,-0.35775945953261773,1.0874652164834783e-05,0.5774645932006222,1.5090018605622546e-08,1999
MB,57,-0.06290505846162173,0.5271623487187309,-0.19122929120774337,0.012669965186369519,0.3607259499464529,0.0002876856333751362,1999
MB,58,-0.21667935174604494,0.03624049609969096,-0.17024275858980814,0.039354291976256985,0.3428968847032251,0.0009193246822395055,1999
MB,59,0.07515428422959143,0.4524580447195504,-0.1910928498341313,0.015697138847653083,0.29018969632894254,0.0037191491659830113,1999
MB,60,-0.11331282595779098,0.2638359618721301,-0.2793468519802274,0.000447098268908553,0.549087433408964,6.145480926197957e-08,1999
MB,61,0.03870074786604654,0.7062608217236623,-0.2261272903943723,0.005692757138595043,0.3314848722017251,0.0012460403235718851,1999
MB,62,0.12859520852164016,0.20294187502530603,-0.17991288091943355,0.022735977336079394,0.2871250007582589,0.0044717698596368986,1999
MB,63,-0.059679119891493354,0.5598929191043677,-0.23404498425263248,0.004160968756376525,0.427048952295435,3.0219331220684015e-05,1999
MB,64,0.1007463405066736,0.3201661406827835,-0.10181472172445558,0.20374794988936196,0.29597629453560836,0.003494118871543064,1999
MB,65,0.05366706878128466,0.5932437567953146,-0.08367681135272344,0.2825927978307602,0.11601986544051306,0.2482007742546808,1999
MB,66,0.10683918099750611,0.2982243044242633,-0.18853544837910693,0.023309743140411995,0.2702317157607055,0.008510040862958921,1999
MB,67,-0.14186179883372432,0.1590578123842007,-0.25719501575895,0.001378509464306391,0.41706741166312555,3.47025580549902e-05,1999
MB,68,0.11588556242905923,0.25629871527386305,-0.2182684773620574,0.008041383880164602,0.36486991094166793,0.0003513479906461742,1999
MB,69,-0.053770395158889164,0.5960849750014661,-0.1862678408748711,0.01912975858018617,0.31156813437236675,0.0021315265900794084,1999
MB,70,-0.01424950103263336,0.8884192330140623,-0.28395445729598395,0.0004811034961635222,0.49114941357327324,1.3247814021398713e-06,1999
MB,71,-0.19516141535657028,0.052964033028854184,-0.22300665308072812,0.005141237965884542,0.42730832814644254,2.263496380367975e-05,1999
