trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,30157,,,0,1,1,1,common,0.0,,,,,,,,,
2,474567,,,0,1,1,0,common,0.0,,,,,,,,,
3,33017,,,0,0,0,1,common,1.0,,,,,,,,,
4,619766,,,0,0,0,0,common,1.0,,,,,,,,,
5,938519,,,0,0,0,0,common,1.0,,,,,,,,,
6,330154,,,0,0,1,1,rare,1.0,,,,,,,,,
7,490733,,,0,0,1,0,rare,1.0,,,,,,,,,
8,435293,,,0,1,0,0,rare,1.0,,,,,,,,,
9,857896,,,0,0,0,0,common,0.0,,,,,,,,,
10,79044,,,0,1,1,0,common,0.0,,,,,,,,,
11,92826,,,0,0,0,1,common,0.0,,,,,,,,,
12,863003,,,0,0,0,0,common,1.0,,,,,,,,,
13,436014,,,0,0,0,1,common,1.0,,,,,,,,,
14,487494,,,0,0,0,1,common,1.0,,,,,,,,,
15,165004,,,0,0,0,1,common,1.0,,,,,,,,,
16,307865,,,0,0,0,1,common,0.0,,,,,,,,,
17,234660,,,0,1,0,0,rare,1.0,,,,,,,,,
18,485845,,,0,1,1,0,common,0.0,,,,,,,,,
19,180631,,,0,0,0,0,common,1.0,,,,,,,,,
20,484432,,,0,0,0,1,common,0.0,,,,,,,,,
21,66601,,,0,0,0,0,common,1.0,,,,,,,,,
22,262865,,,0,1,0,0,rare,0.0,,,,,,,,,
23,737859,,,0,0,0,1,common,0.0,,,,,,,,,
24,453350,,,0,1,1,1,common,1.0,,,,,,,,,
25,409596,,,0,0,1,1,rare,1.0,,,,,,,,,
26,957886,,,0,0,0,0,common,1.0,,,,,,,,,
27,700342,,,0,0,1,1,rare,0.0,,,,,,,,,
28,964565,,,0,0,0,0,common,1.0,,,,,,,,,
29,313446,,,0,0,0,0,common,1.0,,,,,,,,,
30,597171,,,0,0,0,0,common,1.0,,,,,,,,,
31,598303,,,0,0,1,1,rare,0.0,,,,,,,,,
32,47863,,,0,1,0,0,rare,0.0,,,,,,,,,
33,891200,,,0,0,0,0,common,1.0,,,,,,,,,
34,448559,,,0,0,1,1,rare,1.0,,,,,,,,,
35,101480,,,0,0,0,0,common,1.0,,,,,,,,,
36,815410,,,0,0,0,0,common,1.0,,,,,,,,,
37,760866,,,0,0,1,0,rare,1.0,,,,,,,,,
38,634242,,,0,0,0,0,common,1.0,,,,,,,,,
39,283019,,,0,0,0,0,common,1.0,,,,,,,,,
40,650834,,,0,0,0,0,common,1.0,,,,,,,,,
41,53527,,,0,0,0,0,common,0.0,,,,,,,,,
42,753830,,,0,0,0,1,common,0.0,,,,,,,,,
43,945580,,,0,1,1,0,common,0.0,,,,,,,,,
44,149789,,,0,0,1,0,rare,0.0,,,,,,,,,
45,673289,,,0,0,0,0,common,1.0,,,,,,,,,
46,986122,,,0,0,0,0,common,0.0,,,,,,,,,
47,188761,,,0,0,0,0,common,0.0,,,,,,,,,
48,271173,,,0,0,0,0,common,0.0,,,,,,,,,
49,618077,,,0,1,1,1,common,1.0,,,,,,,,,
50,422542,,,0,1,0,1,rare,0.0,,,,,,,,,
51,990442,,,0,1,1,1,common,1.0,,,,,,,,,
52,54349,,,0,1,1,1,common,1.0,,,,,,,,,
53,71443,,,0,1,0,1,rare,1.0,,,,,,,,,
54,710335,,,0,1,1,1,common,1.0,,,,,,,,,
55,615735,,,0,0,0,1,common,0.0,,,,,,,,,
56,965521,,,0,1,0,1,rare,1.0,,,,,,,,,
57,187475,,,0,1,1,1,common,1.0,,,,,,,,,
58,669968,,,0,1,1,1,common,1.0,,,,,,,,,
59,472142,,,0,1,1,1,common,0.0,,,,,,,,,
60,804427,,,0,1,1,0,common,0.0,,,,,,,,,
61,248696,,,0,1,1,1,common,1.0,,,,,,,,,
62,306679,,,0,1,1,1,common,1.0,,,,,,,,,
63,481938,,,0,1,1,1,common,1.0,,,,,,,,,
64,368940,,,0,1,0,1,rare,0.0,,,,,,,,,
65,811831,,,0,1,1,1,common,1.0,,,,,,,,,
66,369928,,,0,1,1,1,common,1.0,,,,,,,,,
67,657643,,,0,1,1,1,common,1.0,,,,,,,,,
68,635879,,,0,1,1,1,common,1.0,,,,,,,,,
69,598003,,,0,1,0,0,rare,1.0,,,,,,,,,
70,5029,,,0,1,0,0,rare,1.0,,,,,,,,,
71,555870,,,0,1,0,1,rare,0.0,,,,,,,,,
72,888263,,,0,1,1,1,common,1.0,,,,,,,,,
73,557089,,,0,1,0,0,rare,1.0,,,,,,,,,
74,75049,,,0,1,1,1,common,1.0,,,,,,,,,
75,902232,,,0,1,1,1,common,1.0,,,,,,,,,
76,952158,,,0,1,0,0,rare,1.0,,,,,,,,,
77,937889,,,0,1,1,1,common,1.0,,,,,,,,,
78,192631,,,0,1,1,0,common,0.0,,,,,,,,,
79,635605,,,0,1,1,1,common,1.0,,,,,,,,,
80,852334,,,0,1,1,1,common,1.0,,,,,,,,,
81,388136,,,0,1,1,1,common,1.0,,,,,,,,,
82,662577,,,0,1,1,1,common,1.0,,,,,,,,,
