trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,390107,,,0,1,1,0,common,1.0,,,,,,,,,
2,15461,,,0,0,0,0,common,1.0,,,,,,,,,
3,122765,,,0,0,0,0,common,1.0,,,,,,,,,
4,808376,,,0,0,0,0,common,1.0,,,,,,,,,
5,542700,,,0,1,1,0,common,0.0,,,,,,,,,
6,132048,,,0,0,0,0,common,0.0,,,,,,,,,
7,369295,,,0,1,1,1,common,1.0,,,,,,,,,
8,304699,,,0,0,0,0,common,1.0,,,,,,,,,
9,256293,,,0,1,0,0,rare,1.0,,,,,,,,,
10,958427,,,0,0,0,0,common,1.0,,,,,,,,,
11,84076,,,0,1,1,1,common,1.0,,,,,,,,,
12,286429,,,0,1,0,0,rare,0.0,,,,,,,,,
13,309234,,,0,0,0,1,common,0.0,,,,,,,,,
14,276376,,,0,0,0,0,common,1.0,,,,,,,,,
15,247866,,,0,0,0,0,common,1.0,,,,,,,,,
16,176938,,,0,0,0,0,common,1.0,,,,,,,,,
17,59634,,,0,0,1,1,rare,1.0,,,,,,,,,
18,594563,,,0,1,0,1,rare,0.0,,,,,,,,,
19,218337,,,0,0,0,1,common,0.0,,,,,,,,,
20,732919,,,0,1,0,1,rare,0.0,,,,,,,,,
21,586097,,,0,1,1,1,common,1.0,,,,,,,,,
22,800763,,,0,1,1,1,common,0.0,,,,,,,,,
23,344399,,,0,1,0,0,rare,0.0,,,,,,,,,
24,373187,,,0,1,0,1,rare,0.0,,,,,,,,,
25,125104,,,0,1,0,0,rare,1.0,,,,,,,,,
26,715263,,,0,0,0,0,common,1.0,,,,,,,,,
27,774916,,,0,1,0,1,rare,0.0,,,,,,,,,
28,182987,,,0,0,0,1,common,0.0,,,,,,,,,
29,365386,,,0,0,1,0,rare,0.0,,,,,,,,,
30,211215,,,0,0,0,0,common,1.0,,,,,,,,,
31,820,,,0,0,1,1,rare,1.0,,,,,,,,,
32,214295,,,0,0,0,0,common,1.0,,,,,,,,,
33,421818,,,0,0,1,1,rare,0.0,,,,,,,,,
34,217402,,,0,0,0,0,common,0.0,,,,,,,,,
35,346485,,,0,1,0,0,rare,0.0,,,,,,,,,
36,986135,,,0,0,0,0,common,0.0,,,,,,,,,
37,548775,,,0,1,1,0,common,1.0,,,,,,,,,
38,886720,,,0,1,1,1,common,1.0,,,,,,,,,
39,382416,,,0,0,0,1,common,0.0,,,,,,,,,
40,607401,,,0,1,1,1,common,0.0,,,,,,,,,
41,74283,,,0,1,1,0,common,0.0,,,,,,,,,
42,681083,,,0,1,1,0,common,0.0,,,,,,,,,
43,856995,,,0,0,0,0,common,1.0,,,,,,,,,
44,903134,,,0,0,0,0,common,0.0,,,,,,,,,
45,737839,,,0,1,1,1,common,0.0,,,,,,,,,
46,204298,,,0,0,1,1,rare,1.0,,,,,,,,,
47,882118,,,0,1,0,1,rare,0.0,,,,,,,,,
48,214344,,,0,1,0,1,rare,0.0,,,,,,,,,
49,632950,,,0,0,0,0,common,1.0,,,,,,,,,
50,257269,,,0,0,0,0,common,0.0,,,,,,,,,
51,406719,,,0,0,0,0,common,0.0,,,,,,,,,
52,209559,,,0,0,1,1,rare,1.0,,,,,,,,,
53,114611,,,0,0,0,0,common,1.0,,,,,,,,,
54,30963,,,0,0,0,0,common,1.0,,,,,,,,,
55,400439,,,0,0,0,0,common,1.0,,,,,,,,,
56,964087,,,0,0,1,1,rare,1.0,,,,,,,,,
57,419415,,,0,1,0,0,rare,1.0,,,,,,,,,
